Game ID,Projected Winning Team,Projected Losing Team,Away Team,Home Team,Away Team Win Percentage,Home Team Win Percentage,Average Away Score,Average Home Score,Average Total Innings
777836,San Francisco Giants,Kansas City Royals,Kansas City Royals,San Francisco Giants,0.3788,0.6212,5.0001,6.509,9.1185
777838,Los Angeles Dodgers,Arizona Diamondbacks,Arizona Diamondbacks,Los Angeles Dodgers,0.4584,0.5416,7.2401,7.8676,9.0981
777840,Detroit Tigers,St. Louis Cardinals,Detroit Tigers,St. Louis Cardinals,0.581,0.419,7.81,6.6739,9.0959
777841,Atlanta Braves,Washington Nationals,Atlanta Braves,Washington Nationals,0.5497,0.4503,7.4197,6.737,9.102
777842,Philadelphia Phillies,Colorado Rockies,Philadelphia Phillies,Colorado Rockies,0.5007,0.4993,6.0014,5.9412,9.1233
777843,Athletics,Los Angeles Angels,Los Angeles Angels,Athletics,0.4097,0.5903,4.9865,6.0802,9.134
777844,Baltimore Orioles,Milwaukee Brewers,Baltimore Orioles,Milwaukee Brewers,0.5569,0.4431,5.6748,5.0194,9.1366
777845,San Diego Padres,Toronto Blue Jays,San Diego Padres,Toronto Blue Jays,0.5629,0.4371,6.7708,5.9465,9.1179
777846,Seattle Mariners,Chicago White Sox,Seattle Mariners,Chicago White Sox,0.5159,0.4841,6.0902,5.9475,9.1193
777847,Cincinnati Reds,Pittsburgh Pirates,Cincinnati Reds,Pittsburgh Pirates,0.6645,0.3355,7.1033,5.1011,9.1057
777848,Houston Astros,Tampa Bay Rays,Houston Astros,Tampa Bay Rays,0.5561,0.4439,6.4128,5.6942,9.1248
777849,New York Yankees,Texas Rangers,Texas Rangers,New York Yankees,0.3411,0.6589,5.6085,7.6896,9.1093
777850,Chicago Cubs,Miami Marlins,Chicago Cubs,Miami Marlins,0.5621,0.4379,7.7146,6.8364,9.106
777851,Boston Red Sox,New York Mets,New York Mets,Boston Red Sox,0.4419,0.5581,6.1064,6.9084,9.1153
