team,side,player_name_x,player_id,game_id,player_name_y,Pitcher Handedness,pa,ab,hit,single,double,triple,home_run,walk,strikeout,batting_avg,slg_percent,sprint_speed
Philadelphia Phillies,away,Johan Rojas,679032,777001,"Rojas, Johan",L,72,64,15,12,1,1,1,6,13,0.234375,0.328125,30.1
Philadelphia Phillies,away,Johan Rojas,679032,777001,"Rojas, Johan",R,89,77,18,15,2,1,0,6,25,0.2337662337662337,0.2857142857142857,30.1
Kansas City Royals,home,Jonathan India,663697,777010,"India, Jonathan",L,77,65,17,13,3,0,1,10,16,0.2615384615384615,0.3538461538461538,28.1
Kansas City Royals,home,Jonathan India,663697,777010,"India, Jonathan",R,333,294,71,48,20,0,3,34,52,0.2414965986394557,0.3401360544217687,28.1
Kansas City Royals,home,Bobby Witt Jr.,677951,777010,"Witt Jr., Bobby",L,83,75,26,17,8,1,0,5,16,0.3466666666666667,0.48,30.3
Kansas City Royals,home,Bobby Witt Jr.,677951,777010,"Witt Jr., Bobby",R,354,321,90,49,25,2,14,23,67,0.2803738317757009,0.5015576323987538,30.3
Kansas City Royals,home,Vinnie Pasquantino,686469,777010,"Pasquantino, Vinnie",L,99,90,20,14,2,0,4,5,28,0.2222222222222222,0.3777777777777777,25.5
Kansas City Royals,home,Vinnie Pasquantino,686469,777010,"Pasquantino, Vinnie",R,328,293,85,58,13,1,13,27,44,0.2901023890784983,0.4744027303754266,25.5
Kansas City Royals,home,Maikel Garcia,672580,777010,"Garcia, Maikel",L,84,75,25,15,6,1,3,6,16,0.3333333333333333,0.56,27.7
Kansas City Royals,home,Maikel Garcia,672580,777010,"Garcia, Maikel",R,333,299,84,57,20,2,5,27,38,0.2809364548494983,0.411371237458194,27.7
Kansas City Royals,home,Salvador Perez,521692,777010,"Perez, Salvador",L,90,88,19,13,5,0,1,2,20,0.2159090909090909,0.3068181818181818,24.7
Kansas City Royals,home,Salvador Perez,521692,777010,"Perez, Salvador",R,313,290,78,40,21,0,17,18,57,0.2689655172413793,0.5172413793103449,24.7
Kansas City Royals,home,Jac Caglianone,695506,777010,"Caglianone, Jac",L,49,47,9,5,1,0,3,2,11,0.1914893617021276,0.4042553191489361,26.4
Kansas City Royals,home,Jac Caglianone,695506,777010,"Caglianone, Jac",R,111,102,13,7,4,0,2,9,23,0.1274509803921568,0.2254901960784313,26.4
Kansas City Royals,home,Adam Frazier,624428,777010,"Frazier, Adam",L,32,27,5,3,2,0,0,3,9,0.1851851851851851,0.2592592592592592,26.5
Kansas City Royals,home,Adam Frazier,624428,777010,"Frazier, Adam",R,240,216,58,45,10,0,3,19,37,0.2685185185185185,0.3564814814814814,26.5
Kansas City Royals,home,John Rave,670231,777010,"Rave, John",L,11,9,3,3,0,0,0,1,3,0.3333333333333333,0.3333333333333333,29.2
Kansas City Royals,home,John Rave,670231,777010,"Rave, John",R,87,76,14,7,4,0,3,9,21,0.1842105263157894,0.3552631578947368,29.2
Kansas City Royals,home,Kyle Isbel,664728,777010,"Isbel, Kyle",L,42,35,8,6,2,0,0,2,11,0.2285714285714285,0.2857142857142857,27.6
Kansas City Royals,home,Kyle Isbel,664728,777010,"Isbel, Kyle",R,227,208,54,39,8,4,3,9,40,0.2596153846153846,0.3798076923076923,27.6
Cleveland Guardians,away,Steven Kwan,680757,777010,"Kwan, Steven",L,144,128,34,28,6,0,0,9,14,0.265625,0.3125,26.9
Cleveland Guardians,away,Steven Kwan,680757,777010,"Kwan, Steven",R,283,244,74,51,14,1,8,31,21,0.3032786885245901,0.4672131147540984,26.9
Cleveland Guardians,away,Angel Martínez,682657,777010,"Martínez, Angel",L,103,92,30,18,8,0,4,6,23,0.3260869565217391,0.5434782608695652,27.6
Cleveland Guardians,away,Angel Martínez,682657,777010,"Martínez, Angel",R,214,200,45,28,11,1,5,7,44,0.225,0.365,27.6
