team,side,player_name_x,player_id,game_id,player_name_y,Pitcher Handedness,pa,ab,hit,single,double,triple,home_run,walk,strikeout,batting_avg,slg_percent,sprint_speed
Kansas City Royals,home,Mike Yastrzemski,573262,776759,"Yastrzemski, Mike",L,75,67,10,7,2,0,1,3,20,0.1492537313432835,0.2238805970149253,26.9
Kansas City Royals,home,Mike Yastrzemski,573262,776759,"Yastrzemski, Mike",R,330,279,70,45,15,1,9,45,72,0.2508960573476702,0.4086021505376344,26.9
Kansas City Royals,home,Bobby Witt Jr.,677951,776759,"Witt Jr., Bobby",L,97,87,29,18,9,2,0,7,22,0.3333333333333333,0.4827586206896552,30.3
Kansas City Royals,home,Bobby Witt Jr.,677951,776759,"Witt Jr., Bobby",R,411,370,104,57,28,2,17,30,77,0.2810810810810811,0.5054054054054054,30.3
Kansas City Royals,home,Vinnie Pasquantino,686469,776759,"Pasquantino, Vinnie",L,114,102,22,15,2,0,5,7,30,0.2156862745098039,0.3823529411764705,25.4
Kansas City Royals,home,Vinnie Pasquantino,686469,776759,"Pasquantino, Vinnie",R,387,346,96,62,17,1,16,32,49,0.2774566473988439,0.4710982658959537,25.4
Kansas City Royals,home,Maikel Garcia,672580,776759,"Garcia, Maikel",L,98,84,27,16,7,1,3,11,18,0.3214285714285714,0.5357142857142857,27.9
Kansas City Royals,home,Maikel Garcia,672580,776759,"Garcia, Maikel",R,394,352,105,69,24,4,8,34,45,0.2982954545454545,0.4573863636363636,27.9
Kansas City Royals,home,Salvador Perez,521692,776759,"Perez, Salvador",L,106,104,21,14,5,0,2,2,23,0.2019230769230769,0.3076923076923077,24.7
Kansas City Royals,home,Salvador Perez,521692,776759,"Perez, Salvador",R,369,340,89,47,23,0,19,23,74,0.2617647058823529,0.4970588235294118,24.7
Kansas City Royals,home,Adam Frazier,624428,776759,"Frazier, Adam",L,46,40,8,4,3,0,1,4,13,0.2,0.35,26.5
Kansas City Royals,home,Adam Frazier,624428,776759,"Frazier, Adam",R,281,254,71,58,10,0,3,20,41,0.2795275590551181,0.3543307086614173,26.5
Kansas City Royals,home,Jonathan India,663697,776759,"India, Jonathan",L,91,75,18,13,3,0,2,14,17,0.24,0.36,28.2
Kansas City Royals,home,Jonathan India,663697,776759,"India, Jonathan",R,384,338,81,54,22,0,5,39,63,0.2396449704142011,0.3491124260355029,28.2
Kansas City Royals,home,John Rave,670231,776759,"Rave, John",L,19,15,4,4,0,0,0,3,5,0.2666666666666666,0.2666666666666666,29.1
Kansas City Royals,home,John Rave,670231,776759,"Rave, John",R,116,100,19,11,5,0,3,14,29,0.19,0.33,29.1
Kansas City Royals,home,Kyle Isbel,664728,776759,"Isbel, Kyle",L,52,42,9,7,2,0,0,4,13,0.2142857142857142,0.2619047619047619,27.6
Kansas City Royals,home,Kyle Isbel,664728,776759,"Isbel, Kyle",R,270,247,68,47,13,4,4,11,47,0.2753036437246963,0.4089068825910931,27.6
Washington Nationals,away,James Wood,695578,776759,"Wood, James",L,175,159,45,29,6,0,10,14,46,0.2830188679245283,0.5094339622641509,27.9
Washington Nationals,away,James Wood,695578,776759,"Wood, James",R,336,280,71,36,20,0,15,48,106,0.2535714285714285,0.4857142857142857,27.9
Washington Nationals,away,CJ Abrams,682928,776759,"Abrams, CJ",L,143,132,36,26,5,1,4,11,31,0.2727272727272727,0.4166666666666667,28.2
Washington Nationals,away,CJ Abrams,682928,776759,"Abrams, CJ",R,327,289,77,42,20,4,11,29,48,0.2664359861591695,0.4775086505190311,28.2
Washington Nationals,away,Luis García Jr.,671277,776759,"García Jr., Luis",L,85,75,14,11,3,0,0,6,14,0.1866666666666666,0.2266666666666666,26.6
Washington Nationals,away,Luis García Jr.,671277,776759,"García Jr., Luis",R,315,287,82,53,19,1,9,17,46,0.2857142857142857,0.4529616724738676,26.6
Washington Nationals,away,Josh Bell,605137,776759,"Bell, Josh",L,89,74,12,7,1,1,3,12,22,0.1621621621621621,0.3243243243243243,24.9
Washington Nationals,away,Josh Bell,605137,776759,"Bell, Josh",R,316,274,70,47,11,0,12,39,48,0.2554744525547445,0.4270072992700729,24.9
Washington Nationals,away,Nathaniel Lowe,663993,776759,"Lowe, Nathaniel",L,152,136,24,15,7,0,2,13,47,0.1764705882352941,0.2720588235294117,26.1
Washington Nationals,away,Nathaniel Lowe,663993,776759,"Lowe, Nathaniel",R,334,297,70,45,10,2,13,33,82,0.2356902356902357,0.4141414141414141,26.1
Washington Nationals,away,Daylen Lile,695734,776759,"Lile, Daylen",L,38,37,10,8,1,0,1,1,11,0.2702702702702703,0.3783783783783784,28.9
Washington Nationals,away,Daylen Lile,695734,776759,"Lile, Daylen",R,165,144,38,23,10,4,1,12,25,0.2638888888888889,0.4097222222222222,28.9
Washington Nationals,away,Drew Millas,686452,776759,"Millas, Drew",L,10,9,2,1,1,0,0,1,4,0.2222222222222222,0.3333333333333333,27.6
Washington Nationals,away,Drew Millas,686452,776759,"Millas, Drew",R,31,28,10,8,2,0,0,1,1,0.3571428571428571,0.4285714285714285,27.6
Washington Nationals,away,Brady House,691781,776759,"House, Brady",L,49,47,8,5,3,0,0,1,17,0.1702127659574468,0.2340425531914893,27.7
Washington Nationals,away,Brady House,691781,776759,"House, Brady",R,114,107,29,23,4,0,2,4,26,0.2710280373831775,0.3644859813084112,27.7
Washington Nationals,away,Robert Hassell III,690987,776759,"Hassell III, Robert",L,22,21,6,5,1,0,0,1,6,0.2857142857142857,0.3333333333333333,28.4
Washington Nationals,away,Robert Hassell III,690987,776759,"Hassell III, Robert",R,80,78,19,13,4,0,2,1,19,0.2435897435897435,0.3717948717948718,28.4
Chicago White Sox,home,Kyle Teel,691019,776754,"Teel, Kyle",L,27,21,5,3,2,0,0,4,9,0.238095238095238,0.3333333333333333,27.8
Chicago White Sox,home,Kyle Teel,691019,776754,"Teel, Kyle",R,122,104,29,22,5,0,2,16,27,0.2788461538461538,0.3846153846153846,27.8
Chicago White Sox,home,Lenyn Sosa,672820,776754,"Sosa, Lenyn",L,107,99,27,21,4,0,2,5,25,0.2727272727272727,0.3737373737373737,26.7
Chicago White Sox,home,Lenyn Sosa,672820,776754,"Sosa, Lenyn",R,281,265,75,50,12,1,12,11,60,0.2830188679245283,0.4716981132075472,26.7
