team,side,player_name,player_id,game_id,"last_name, first_name",year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,sprint_speed
Chicago Cubs,home,Ian Happ,664023,777436,"Happ, Ian",2025.0,30.0,264.0,306.0,65.0,43.0,14.0,0.0,8.0,68.0,38.0,22.2,12.4,0.246,0.39,0.34,0.73,0.262,0.431,0.325,0.347,27.1
Chicago Cubs,home,Kyle Tucker,663656,777436,"Tucker, Kyle",2025.0,28.0,272.0,325.0,76.0,44.0,15.0,4.0,13.0,47.0,49.0,14.5,15.1,0.279,0.507,0.391,0.898,0.288,0.551,0.384,0.399,26.5
Chicago Cubs,home,Seiya Suzuki,673548,777436,"Suzuki, Seiya",2025.0,30.0,281.0,311.0,72.0,34.0,18.0,2.0,18.0,84.0,25.0,27.0,8.0,0.256,0.527,0.312,0.839,0.271,0.535,0.357,0.365,28.0
Chicago Cubs,home,Pete Crow-Armstrong,691718,777436,"Crow-Armstrong, Pete",2025.0,23.0,285.0,307.0,77.0,38.0,16.0,3.0,20.0,74.0,14.0,24.1,4.6,0.27,0.558,0.309,0.867,0.269,0.539,0.369,0.359,29.5
Chicago Cubs,home,Dansby Swanson,621020,777436,"Swanson, Dansby",2025.0,31.0,283.0,310.0,69.0,44.0,10.0,1.0,14.0,84.0,22.0,27.1,7.1,0.244,0.435,0.294,0.729,0.265,0.492,0.315,0.348,28.3
Chicago Cubs,home,Michael Busch,683737,777436,"Busch, Michael",2025.0,27.0,225.0,259.0,59.0,32.0,13.0,3.0,11.0,58.0,29.0,22.4,11.2,0.262,0.493,0.359,0.852,0.265,0.539,0.37,0.384,26.8
Chicago Cubs,home,Nico Hoerner,663538,777436,"Hoerner, Nico",2025.0,28.0,271.0,291.0,78.0,60.0,17.0,1.0,0.0,21.0,15.0,7.2,5.2,0.288,0.358,0.33,0.688,0.287,0.372,0.306,0.308,28.3
Chicago Cubs,home,Matt Shaw,807713,777436,"Shaw, Matt",2025.0,23.0,151.0,167.0,34.0,23.0,9.0,0.0,2.0,36.0,15.0,21.6,9.0,0.225,0.325,0.299,0.624,0.246,0.357,0.282,0.301,28.9
Chicago Cubs,home,Reese McGuire,624512,777436,"McGuire, Reese",2025.0,30.0,32.0,34.0,8.0,5.0,1.0,0.0,2.0,7.0,1.0,20.6,2.9,0.25,0.469,0.273,0.742,0.183,0.331,0.32,0.232,25.3
Seattle Mariners,away,J.P. Crawford,641487,777436,"Crawford, J.P.",2025.0,30.0,245.0,298.0,72.0,56.0,10.0,0.0,6.0,53.0,50.0,17.8,16.8,0.294,0.408,0.416,0.824,0.289,0.422,0.371,0.372,26.7
Seattle Mariners,away,Julio Rodríguez,677594,777436,"Rodríguez, Julio",2025.0,24.0,295.0,322.0,75.0,53.0,9.0,3.0,10.0,65.0,21.0,20.2,6.5,0.254,0.407,0.317,0.724,0.27,0.453,0.319,0.339,29.2
Seattle Mariners,away,Cal Raleigh,663728,777436,"Raleigh, Cal",2025.0,28.0,267.0,314.0,71.0,30.0,14.0,0.0,27.0,80.0,42.0,25.5,13.4,0.266,0.622,0.373,0.995,0.253,0.575,0.417,0.393,26.0
Seattle Mariners,away,Randy Arozarena,668227,777436,"Arozarena, Randy",2025.0,30.0,257.0,308.0,58.0,34.0,15.0,1.0,8.0,85.0,38.0,27.6,12.3,0.226,0.385,0.351,0.736,0.235,0.414,0.333,0.349,27.6
Seattle Mariners,away,Mitch Garver,641598,777436,"Garver, Mitch",2025.0,34.0,112.0,129.0,23.0,19.0,3.0,0.0,1.0,39.0,16.0,30.2,12.4,0.205,0.259,0.31,0.569,0.203,0.334,0.268,0.29,25.7
Seattle Mariners,away,Donovan Solano,456781,777436,"Solano, Donovan",2025.0,37.0,91.0,97.0,18.0,15.0,2.0,0.0,1.0,24.0,4.0,24.7,4.1,0.198,0.253,0.237,0.49,0.225,0.337,0.221,0.262,24.6
Seattle Mariners,away,Dylan Moore,664238,777436,"Moore, Dylan",2025.0,32.0,149.0,165.0,35.0,23.0,4.0,0.0,8.0,54.0,14.0,32.7,8.5,0.235,0.423,0.297,0.72,0.223,0.388,0.314,0.3,27.7
Seattle Mariners,away,Ben Williamson,810938,777436,"Williamson, Ben",2025.0,24.0,181.0,192.0,46.0,37.0,8.0,0.0,1.0,49.0,9.0,25.5,4.7,0.254,0.315,0.293,0.608,0.235,0.322,0.272,0.265,28.0
Seattle Mariners,away,Cole Young,702284,777436,"Young, Cole",2025.0,21.0,48.0,52.0,12.0,9.0,3.0,0.0,0.0,13.0,3.0,25.0,5.8,0.25,0.313,0.294,0.607,0.218,0.329,0.272,0.261,27.0
Pittsburgh Pirates,home,Oneil Cruz,665833,777432,"Cruz, Oneil",2025.0,26.0,239.0,285.0,52.0,28.0,10.0,1.0,13.0,95.0,41.0,33.3,14.4,0.218,0.431,0.337,0.768,0.245,0.496,0.336,0.374,29.1
Pittsburgh Pirates,home,Andrew McCutchen,457705,777432,"McCutchen, Andrew",2025.0,38.0,229.0,263.0,62.0,41.0,13.0,0.0,8.0,53.0,29.0,20.2,11.0,0.271,0.432,0.355,0.787,0.277,0.461,0.346,0.355,27.3
Pittsburgh Pirates,home,Nick Gonzales,693304,777432,"Gonzales, Nick",2025.0,26.0,58.0,62.0,15.0,10.0,1.0,2.0,2.0,11.0,3.0,17.7,4.8,0.259,0.448,0.29,0.738,0.285,0.487,0.316,0.344,28.9
Pittsburgh Pirates,home,Spencer Horwitz,687462,777432,"Horwitz, Spencer",2025.0,27.0,96.0,105.0,22.0,15.0,6.0,0.0,1.0,27.0,8.0,25.7,7.6,0.229,0.323,0.295,0.618,0.246,0.39,0.275,0.304,25.2
Pittsburgh Pirates,home,Joey Bart,663698,777432,"Bart, Joey",2025.0,28.0,153.0,178.0,36.0,29.0,5.0,1.0,1.0,43.0,22.0,24.2,12.4,0.235,0.301,0.343,0.644,0.233,0.407,0.299,0.331,26.1
Pittsburgh Pirates,home,Jared Triolo,669707,777432,"Triolo, Jared",2025.0,27.0,117.0,136.0,21.0,12.0,6.0,0.0,3.0,22.0,15.0,16.2,11.0,0.179,0.308,0.276,0.584,0.239,0.423,0.263,0.325,28.6
