team,side,player_name_x,player_id,game_id,player_name_y,Pitcher Handedness,plate_appearances,at_bats,hits,singles,doubles,triples,home_runs,walks,strikeouts,batting_average,slugging_percentage
Tampa Bay Rays,away,Junior Caminero,691406,777130,"Caminero, Junior",R,277.0,251.0,67.0,34.0,15.0,0.0,18.0,17.0,54.0,0.2669322709163346,0.5418326693227091
Tampa Bay Rays,away,Matt Thaiss,642136,777130,"Thaiss, Matt",L,25.0,21.0,4.0,2.0,2.0,0.0,0.0,3.0,5.0,0.1904761904761904,0.2857142857142857
Tampa Bay Rays,away,Matt Thaiss,642136,777130,"Thaiss, Matt",R,145.0,116.0,27.0,22.0,3.0,1.0,1.0,27.0,36.0,0.2327586206896551,0.3017241379310345
Tampa Bay Rays,away,Ha-Seong Kim,673490,777130,"Kim, Ha-Seong",L,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Tampa Bay Rays,away,Ha-Seong Kim,673490,777130,"Kim, Ha-Seong",R,14.0,14.0,5.0,3.0,1.0,0.0,1.0,0.0,5.0,0.3571428571428571,0.6428571428571429
Tampa Bay Rays,away,Taylor Walls,670764,777130,"Walls, Taylor",L,79.0,71.0,20.0,17.0,3.0,0.0,0.0,4.0,15.0,0.2816901408450704,0.323943661971831
Tampa Bay Rays,away,Taylor Walls,670764,777130,"Walls, Taylor",R,176.0,148.0,28.0,20.0,4.0,1.0,3.0,20.0,37.0,0.1891891891891892,0.2905405405405405
Baltimore Orioles,home,Jackson Holliday,702616,777129,"Holliday, Jackson",L,95.0,89.0,22.0,16.0,4.0,0.0,2.0,6.0,30.0,0.247191011235955,0.3595505617977528
Baltimore Orioles,home,Jackson Holliday,702616,777129,"Holliday, Jackson",R,274.0,251.0,67.0,45.0,10.0,2.0,10.0,19.0,61.0,0.2669322709163346,0.4422310756972111
Baltimore Orioles,home,Jordan Westburg,676059,777129,"Westburg, Jordan",L,52.0,46.0,12.0,9.0,1.0,0.0,2.0,4.0,12.0,0.2608695652173913,0.4130434782608695
Baltimore Orioles,home,Jordan Westburg,676059,777129,"Westburg, Jordan",R,125.0,113.0,30.0,17.0,4.0,1.0,8.0,9.0,31.0,0.2654867256637168,0.5309734513274337
Baltimore Orioles,home,Gunnar Henderson,683002,777129,"Henderson, Gunnar",L,119.0,110.0,24.0,17.0,5.0,0.0,2.0,8.0,33.0,0.2181818181818181,0.3181818181818182
Baltimore Orioles,home,Gunnar Henderson,683002,777129,"Henderson, Gunnar",R,246.0,220.0,70.0,43.0,15.0,3.0,9.0,23.0,55.0,0.3181818181818182,0.5363636363636364
Baltimore Orioles,home,Ryan O'Hearn,656811,777129,"O'Hearn, Ryan",L,58.0,50.0,11.0,8.0,3.0,0.0,0.0,8.0,12.0,0.22,0.28
Baltimore Orioles,home,Ryan O'Hearn,656811,777129,"O'Hearn, Ryan",R,258.0,219.0,67.0,45.0,11.0,0.0,11.0,33.0,40.0,0.3059360730593607,0.5068493150684932
Baltimore Orioles,home,Ramón Laureano,657656,777129,"Laureano, Ramón",L,84.0,70.0,18.0,12.0,4.0,0.0,2.0,8.0,19.0,0.2571428571428571,0.4
Baltimore Orioles,home,Ramón Laureano,657656,777129,"Laureano, Ramón",R,150.0,131.0,40.0,21.0,11.0,0.0,8.0,14.0,38.0,0.3053435114503817,0.5725190839694656
Baltimore Orioles,home,Colton Cowser,681297,777129,"Cowser, Colton",L,40.0,36.0,6.0,5.0,0.0,0.0,1.0,4.0,13.0,0.1666666666666666,0.25
Baltimore Orioles,home,Colton Cowser,681297,777129,"Cowser, Colton",R,104.0,97.0,24.0,10.0,7.0,0.0,7.0,7.0,31.0,0.2474226804123711,0.5360824742268041
Baltimore Orioles,home,Ramón Urías,602104,777129,"Urías, Ramón",L,64.0,57.0,15.0,11.0,2.0,0.0,2.0,6.0,15.0,0.2631578947368421,0.4035087719298245
Baltimore Orioles,home,Ramón Urías,602104,777129,"Urías, Ramón",R,188.0,164.0,40.0,29.0,7.0,0.0,4.0,14.0,34.0,0.2439024390243902,0.3597560975609756
Baltimore Orioles,home,Cedric Mullins,656775,777129,"Mullins, Cedric",L,85.0,72.0,20.0,13.0,4.0,0.0,3.0,12.0,12.0,0.2777777777777778,0.4583333333333333
Baltimore Orioles,home,Cedric Mullins,656775,777129,"Mullins, Cedric",R,224.0,197.0,38.0,18.0,10.0,0.0,10.0,22.0,59.0,0.1928934010152284,0.3959390862944162
Baltimore Orioles,home,Alex Jackson,656577,777129,"Jackson, Alex",L,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
Baltimore Orioles,home,Alex Jackson,656577,777129,"Jackson, Alex",R,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666
Miami Marlins,away,Xavier Edwards,669364,777129,"Edwards, Xavier",L,102.0,89.0,22.0,19.0,2.0,1.0,0.0,8.0,17.0,0.247191011235955,0.2921348314606741
Miami Marlins,away,Xavier Edwards,669364,777129,"Edwards, Xavier",R,250.0,220.0,69.0,57.0,11.0,0.0,1.0,24.0,34.0,0.3136363636363636,0.3772727272727272
Miami Marlins,away,Jesús Sánchez,660821,777129,"Sánchez, Jesús",L,48.0,44.0,6.0,4.0,1.0,0.0,1.0,4.0,14.0,0.1363636363636363,0.2272727272727272
Miami Marlins,away,Jesús Sánchez,660821,777129,"Sánchez, Jesús",R,241.0,214.0,61.0,42.0,9.0,4.0,6.0,21.0,45.0,0.2850467289719626,0.4485981308411215
Miami Marlins,away,Agustín Ramírez,682663,777129,"Ramírez, Agustín",L,80.0,73.0,18.0,11.0,2.0,1.0,4.0,5.0,22.0,0.2465753424657534,0.4657534246575342
Miami Marlins,away,Agustín Ramírez,682663,777129,"Ramírez, Agustín",R,216.0,200.0,48.0,21.0,17.0,0.0,10.0,12.0,34.0,0.24,0.475
Miami Marlins,away,Kyle Stowers,669065,777129,"Stowers, Kyle",L,76.0,66.0,20.0,15.0,4.0,1.0,0.0,9.0,14.0,0.303030303030303,0.3939393939393939
Miami Marlins,away,Kyle Stowers,669065,777129,"Stowers, Kyle",R,264.0,232.0,64.0,37.0,9.0,2.0,16.0,28.0,83.0,0.2758620689655172,0.5387931034482759
Miami Marlins,away,Otto Lopez,672640,777129,"Lopez, Otto",L,104.0,98.0,21.0,17.0,2.0,0.0,2.0,5.0,16.0,0.2142857142857142,0.2959183673469387
Miami Marlins,away,Otto Lopez,672640,777129,"Lopez, Otto",R,217.0,184.0,51.0,36.0,7.0,0.0,8.0,24.0,28.0,0.2771739130434782,0.4456521739130434
Miami Marlins,away,Liam Hicks,689414,777129,"Hicks, Liam",L,33.0,25.0,4.0,2.0,2.0,0.0,0.0,5.0,7.0,0.16,0.24
Miami Marlins,away,Liam Hicks,689414,777129,"Hicks, Liam",R,161.0,137.0,39.0,27.0,7.0,1.0,4.0,21.0,23.0,0.2846715328467153,0.437956204379562
Miami Marlins,away,Dane Myers,667472,777129,"Myers, Dane",L,73.0,66.0,23.0,15.0,6.0,0.0,2.0,7.0,9.0,0.3484848484848485,0.5303030303030303
Miami Marlins,away,Dane Myers,667472,777129,"Myers, Dane",R,140.0,129.0,33.0,29.0,2.0,0.0,2.0,8.0,36.0,0.2558139534883721,0.3178294573643411
Miami Marlins,away,Graham Pauley,688363,777129,"Pauley, Graham",L,15.0,12.0,3.0,1.0,2.0,0.0,0.0,2.0,2.0,0.25,0.4166666666666667
Miami Marlins,away,Graham Pauley,688363,777129,"Pauley, Graham",R,74.0,68.0,14.0,10.0,4.0,0.0,0.0,4.0,19.0,0.2058823529411764,0.2647058823529412
Miami Marlins,away,Nick Fortes,663743,777129,"Fortes, Nick",L,56.0,49.0,10.0,7.0,3.0,0.0,0.0,6.0,7.0,0.2040816326530612,0.2653061224489796
