team,side,player_name_x,player_id,game_id,player_name_y,Pitcher Handedness,pa,ab,hit,single,double,triple,home_run,walk,strikeout,batting_avg,slg_percent,sprint_speed
Cleveland Guardians,home,Steven Kwan,680757,777056,"Kwan, Steven",L,142.0,126.0,34.0,28.0,6.0,0.0,0.0,9.0,14.0,0.2698412698412698,0.3174603174603174,26.9
Cleveland Guardians,home,Steven Kwan,680757,777056,"Kwan, Steven",R,271.0,234.0,71.0,50.0,14.0,1.0,6.0,29.0,20.0,0.3034188034188034,0.4487179487179487,26.9
Cleveland Guardians,home,Angel Martínez,682657,777056,"Martínez, Angel",L,102.0,91.0,29.0,17.0,8.0,0.0,4.0,6.0,23.0,0.3186813186813186,0.5384615384615384,27.6
Cleveland Guardians,home,Angel Martínez,682657,777056,"Martínez, Angel",R,202.0,190.0,42.0,26.0,10.0,1.0,5.0,5.0,43.0,0.2210526315789473,0.3631578947368421,27.6
Cleveland Guardians,home,José Ramírez,608070,777056,"Ramírez, José",L,121.0,112.0,38.0,25.0,8.0,1.0,4.0,7.0,11.0,0.3392857142857143,0.5357142857142857,28.4
Cleveland Guardians,home,José Ramírez,608070,777056,"Ramírez, José",R,275.0,243.0,68.0,41.0,10.0,1.0,16.0,23.0,34.0,0.279835390946502,0.5267489711934157,28.4
Cleveland Guardians,home,Kyle Manzardo,700932,777056,"Manzardo, Kyle",L,53.0,46.0,9.0,2.0,2.0,1.0,4.0,5.0,13.0,0.1956521739130435,0.5434782608695652,25.4
Cleveland Guardians,home,Kyle Manzardo,700932,777056,"Manzardo, Kyle",R,255.0,227.0,51.0,28.0,10.0,1.0,12.0,25.0,63.0,0.224669603524229,0.4361233480176211,25.4
Cleveland Guardians,home,Carlos Santana,467793,777056,"Santana, Carlos",L,116.0,100.0,24.0,18.0,2.0,0.0,4.0,12.0,18.0,0.24,0.38,25.4
Cleveland Guardians,home,Carlos Santana,467793,777056,"Santana, Carlos",R,264.0,221.0,51.0,39.0,5.0,0.0,7.0,35.0,52.0,0.2307692307692307,0.3484162895927601,25.4
Cleveland Guardians,home,Nolan Jones,666134,777056,"Jones, Nolan",L,52.0,43.0,8.0,7.0,1.0,0.0,0.0,8.0,17.0,0.1860465116279069,0.2093023255813953,27.5
Cleveland Guardians,home,Nolan Jones,666134,777056,"Jones, Nolan",R,228.0,197.0,47.0,33.0,9.0,2.0,3.0,24.0,57.0,0.2385786802030456,0.350253807106599,27.5
Cleveland Guardians,home,Daniel Schneemann,682177,777056,"Schneemann, Daniel",L,40.0,34.0,6.0,5.0,1.0,0.0,0.0,5.0,13.0,0.1764705882352941,0.2058823529411764,28.0
Cleveland Guardians,home,Daniel Schneemann,682177,777056,"Schneemann, Daniel",R,208.0,184.0,41.0,23.0,9.0,0.0,9.0,20.0,49.0,0.2228260869565217,0.4184782608695652,28.0
Cleveland Guardians,home,Brayan Rocchio,677587,777056,"Rocchio, Brayan",L,57.0,47.0,9.0,6.0,3.0,0.0,0.0,5.0,16.0,0.1914893617021276,0.2553191489361702,26.8
Cleveland Guardians,home,Brayan Rocchio,677587,777056,"Rocchio, Brayan",R,101.0,90.0,20.0,12.0,7.0,0.0,1.0,7.0,13.0,0.2222222222222222,0.3333333333333333,26.8
Cleveland Guardians,home,Bo Naylor,666310,777056,"Naylor, Bo",L,58.0,50.0,9.0,7.0,1.0,0.0,1.0,5.0,8.0,0.18,0.26,27.2
Cleveland Guardians,home,Bo Naylor,666310,777056,"Naylor, Bo",R,198.0,168.0,29.0,11.0,8.0,1.0,9.0,26.0,61.0,0.1726190476190476,0.3928571428571428,27.2
Baltimore Orioles,away,Jackson Holliday,702616,777056,"Holliday, Jackson",L,98.0,92.0,22.0,16.0,4.0,0.0,2.0,6.0,32.0,0.2391304347826087,0.3478260869565217,28.6
Baltimore Orioles,away,Jackson Holliday,702616,777056,"Holliday, Jackson",R,293.0,269.0,73.0,50.0,10.0,2.0,11.0,20.0,63.0,0.2713754646840148,0.4460966542750929,28.6
Baltimore Orioles,away,Jordan Westburg,676059,777056,"Westburg, Jordan",L,54.0,48.0,13.0,10.0,1.0,0.0,2.0,4.0,13.0,0.2708333333333333,0.4166666666666667,29.1
Baltimore Orioles,away,Jordan Westburg,676059,777056,"Westburg, Jordan",R,141.0,129.0,35.0,21.0,5.0,1.0,8.0,9.0,34.0,0.2713178294573643,0.5116279069767442,29.1
Baltimore Orioles,away,Gunnar Henderson,683002,777056,"Henderson, Gunnar",L,121.0,112.0,24.0,17.0,5.0,0.0,2.0,8.0,33.0,0.2142857142857142,0.3125,28.3
Baltimore Orioles,away,Gunnar Henderson,683002,777056,"Henderson, Gunnar",R,262.0,234.0,74.0,44.0,17.0,4.0,9.0,23.0,57.0,0.3162393162393162,0.5384615384615384,28.3
Baltimore Orioles,away,Ramón Laureano,657656,777056,"Laureano, Ramón",L,84.0,70.0,18.0,12.0,4.0,0.0,2.0,8.0,19.0,0.2571428571428571,0.4,27.7
Baltimore Orioles,away,Ramón Laureano,657656,777056,"Laureano, Ramón",R,167.0,148.0,45.0,23.0,12.0,0.0,10.0,14.0,43.0,0.304054054054054,0.5878378378378378,27.7
Baltimore Orioles,away,Cedric Mullins,656775,777056,"Mullins, Cedric",L,86.0,73.0,21.0,14.0,4.0,0.0,3.0,12.0,12.0,0.2876712328767123,0.4657534246575342,28.4
Baltimore Orioles,away,Cedric Mullins,656775,777056,"Mullins, Cedric",R,238.0,211.0,41.0,21.0,10.0,0.0,10.0,22.0,65.0,0.1943127962085308,0.3838862559241706,28.4
Baltimore Orioles,away,Ramón Urías,602104,777056,"Urías, Ramón",L,65.0,58.0,15.0,11.0,2.0,0.0,2.0,6.0,15.0,0.2586206896551724,0.396551724137931,26.9
Baltimore Orioles,away,Ramón Urías,602104,777056,"Urías, Ramón",R,197.0,172.0,42.0,29.0,9.0,0.0,4.0,14.0,39.0,0.2441860465116279,0.3662790697674418,26.9
Baltimore Orioles,away,Colton Cowser,681297,777056,"Cowser, Colton",L,41.0,37.0,6.0,5.0,0.0,0.0,1.0,4.0,14.0,0.1621621621621621,0.2432432432432432,27.2
Baltimore Orioles,away,Colton Cowser,681297,777056,"Cowser, Colton",R,122.0,114.0,28.0,14.0,7.0,0.0,7.0,8.0,35.0,0.2456140350877192,0.4912280701754385,27.2
Baltimore Orioles,away,Coby Mayo,691723,777056,"Mayo, Coby",L,33.0,30.0,7.0,5.0,2.0,0.0,0.0,3.0,8.0,0.2333333333333333,0.3,28.3
Baltimore Orioles,away,Coby Mayo,691723,777056,"Mayo, Coby",R,55.0,52.0,9.0,5.0,3.0,0.0,1.0,3.0,14.0,0.173076923076923,0.2884615384615384,28.3
Baltimore Orioles,away,Jacob Stallings,607732,777056,"Stallings, Jacob",L,37.0,34.0,2.0,2.0,0.0,0.0,0.0,2.0,18.0,0.0588235294117647,0.0588235294117647,23.3
Baltimore Orioles,away,Jacob Stallings,607732,777056,"Stallings, Jacob",R,84.0,74.0,13.0,9.0,4.0,0.0,0.0,7.0,21.0,0.1756756756756756,0.2297297297297297,23.3
Pittsburgh Pirates,home,Spencer Horwitz,687462,777044,"Horwitz, Spencer",L,27.0,26.0,4.0,3.0,1.0,0.0,0.0,1.0,10.0,0.1538461538461538,0.1923076923076923,25.1
Pittsburgh Pirates,home,Spencer Horwitz,687462,777044,"Horwitz, Spencer",R,168.0,151.0,38.0,27.0,9.0,0.0,2.0,16.0,33.0,0.2516556291390728,0.3509933774834437,25.1
Pittsburgh Pirates,home,Nick Gonzales,693304,777044,"Gonzales, Nick",L,37.0,32.0,7.0,3.0,2.0,1.0,1.0,4.0,6.0,0.21875,0.4375,28.7
Pittsburgh Pirates,home,Nick Gonzales,693304,777044,"Gonzales, Nick",R,125.0,111.0,33.0,24.0,5.0,1.0,3.0,10.0,18.0,0.2972972972972973,0.4414414414414414,28.7
Pittsburgh Pirates,home,Bryan Reynolds,668804,777044,"Reynolds, Bryan",L,104.0,96.0,23.0,12.0,5.0,0.0,6.0,7.0,36.0,0.2395833333333333,0.4791666666666667,27.9
Pittsburgh Pirates,home,Bryan Reynolds,668804,777044,"Reynolds, Bryan",R,301.0,273.0,62.0,42.0,14.0,2.0,4.0,24.0,76.0,0.2271062271062271,0.336996336996337,27.9
Pittsburgh Pirates,home,Tommy Pham,502054,777044,"Pham, Tommy",L,60.0,54.0,12.0,11.0,0.0,0.0,1.0,4.0,15.0,0.2222222222222222,0.2777777777777778,27.5
Pittsburgh Pirates,home,Tommy Pham,502054,777044,"Pham, Tommy",R,185.0,160.0,42.0,31.0,8.0,0.0,3.0,18.0,42.0,0.2625,0.36875,27.5
Pittsburgh Pirates,home,Oneil Cruz,665833,777044,"Cruz, Oneil",L,98.0,84.0,11.0,6.0,3.0,1.0,1.0,13.0,37.0,0.1309523809523809,0.2261904761904762,29.3
Pittsburgh Pirates,home,Oneil Cruz,665833,777044,"Cruz, Oneil",R,274.0,232.0,57.0,32.0,9.0,1.0,15.0,33.0,85.0,0.2456896551724137,0.4870689655172414,29.3
Pittsburgh Pirates,home,Ke'Bryan Hayes,663647,777044,"Hayes, Ke'Bryan",L,84.0,80.0,17.0,14.0,3.0,0.0,0.0,2.0,18.0,0.2125,0.25,27.2
Pittsburgh Pirates,home,Ke'Bryan Hayes,663647,777044,"Hayes, Ke'Bryan",R,279.0,254.0,65.0,55.0,6.0,2.0,2.0,19.0,57.0,0.2559055118110236,0.3188976377952756,27.2
Pittsburgh Pirates,home,Alexander Canario,672744,777044,"Canario, Alexander",L,64.0,58.0,11.0,6.0,3.0,0.0,2.0,5.0,20.0,0.1896551724137931,0.3448275862068966,27.9
Pittsburgh Pirates,home,Alexander Canario,672744,777044,"Canario, Alexander",R,100.0,89.0,22.0,18.0,2.0,1.0,1.0,9.0,32.0,0.247191011235955,0.3258426966292135,27.9
Pittsburgh Pirates,home,Henry Davis,680779,777044,"Davis, Henry",L,38.0,35.0,6.0,4.0,0.0,0.0,2.0,3.0,9.0,0.1714285714285714,0.3428571428571428,28.2
Pittsburgh Pirates,home,Henry Davis,680779,777044,"Davis, Henry",R,117.0,102.0,20.0,13.0,5.0,0.0,2.0,9.0,28.0,0.196078431372549,0.3039215686274509,28.2
Pittsburgh Pirates,home,Isiah Kiner-Falefa,643396,777044,"Kiner-Falefa, Isiah",L,80.0,75.0,17.0,16.0,0.0,0.0,1.0,3.0,13.0,0.2266666666666666,0.2666666666666666,27.3
Pittsburgh Pirates,home,Isiah Kiner-Falefa,643396,777044,"Kiner-Falefa, Isiah",R,232.0,207.0,62.0,48.0,12.0,2.0,0.0,16.0,38.0,0.2995169082125604,0.3768115942028985,27.3
Detroit Tigers,away,Colt Keith,690993,777044,"Keith, Colt",L,41.0,35.0,6.0,5.0,1.0,0.0,0.0,3.0,12.0,0.1714285714285714,0.2,28.0
Detroit Tigers,away,Colt Keith,690993,777044,"Keith, Colt",R,265.0,228.0,62.0,37.0,15.0,2.0,8.0,34.0,51.0,0.2719298245614035,0.4605263157894737,28.0
Detroit Tigers,away,Gleyber Torres,650402,777044,"Torres, Gleyber",L,94.0,75.0,23.0,12.0,8.0,0.0,3.0,17.0,8.0,0.3066666666666666,0.5333333333333333,26.2
Detroit Tigers,away,Gleyber Torres,650402,777044,"Torres, Gleyber",R,283.0,234.0,65.0,51.0,8.0,0.0,6.0,41.0,42.0,0.2777777777777778,0.3888888888888889,26.2
Detroit Tigers,away,Wenceel Pérez,672761,777044,"Pérez, Wenceel",L,35.0,32.0,11.0,4.0,3.0,1.0,3.0,2.0,7.0,0.34375,0.78125,27.7
Detroit Tigers,away,Wenceel Pérez,672761,777044,"Pérez, Wenceel",R,118.0,108.0,25.0,16.0,4.0,1.0,4.0,10.0,24.0,0.2314814814814814,0.3981481481481481,27.7
Detroit Tigers,away,Riley Greene,682985,777044,"Greene, Riley",L,126.0,110.0,24.0,16.0,6.0,0.0,2.0,12.0,41.0,0.2181818181818181,0.3272727272727272,26.8
Detroit Tigers,away,Riley Greene,682985,777044,"Greene, Riley",R,287.0,269.0,82.0,43.0,15.0,1.0,23.0,16.0,91.0,0.3048327137546468,0.6245353159851301,26.8
Detroit Tigers,away,Spencer Torkelson,679529,777044,"Torkelson, Spencer",L,113.0,93.0,25.0,10.0,6.0,0.0,9.0,17.0,21.0,0.2688172043010752,0.6236559139784946,26.7
