team,side,player_name,player_id,game_id,"last_name, first_name",year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,sprint_speed
Atlanta Braves,home,Alex Verdugo,657077,777909,"Verdugo, Alex",2025.0,29.0,93.0,100.0,23.0,15.0,8.0,0.0,0.0,11.0,6.0,11.0,6.0,0.247,0.333,0.3,0.633,0.278,0.385,0.284,0.314,25.8
Atlanta Braves,home,Drake Baldwin,686948,777909,"Baldwin, Drake",2025.0,24.0,71.0,77.0,24.0,16.0,4.0,0.0,4.0,13.0,6.0,16.9,7.8,0.338,0.563,0.39,0.953,0.292,0.508,0.413,0.367,25.8
Atlanta Braves,home,Marcell Ozuna,542303,777909,"Ozuna, Marcell",2025.0,34.0,137.0,175.0,37.0,25.0,6.0,0.0,6.0,35.0,36.0,20.0,20.6,0.27,0.445,0.423,0.868,0.285,0.524,0.388,0.414,24.6
Atlanta Braves,home,Matt Olson,621566,777909,"Olson, Matt",2025.0,31.0,155.0,186.0,34.0,21.0,6.0,0.0,7.0,43.0,29.0,23.1,15.6,0.219,0.394,0.344,0.738,0.244,0.511,0.332,0.378,24.7
Atlanta Braves,home,Austin Riley,663586,777909,"Riley, Austin",2025.0,28.0,178.0,190.0,51.0,36.0,7.0,0.0,8.0,54.0,10.0,28.4,5.3,0.287,0.461,0.332,0.793,0.271,0.509,0.346,0.352,28.5
Atlanta Braves,home,Michael Harris II,671739,777909,"Harris II, Michael",2025.0,24.0,165.0,178.0,39.0,26.0,8.0,2.0,3.0,31.0,7.0,17.4,3.9,0.236,0.364,0.261,0.625,0.275,0.405,0.268,0.307,28.4
Atlanta Braves,home,Ozzie Albies,645277,777909,"Albies, Ozzie",2025.0,28.0,172.0,186.0,37.0,28.0,4.0,0.0,5.0,28.0,13.0,15.1,7.0,0.215,0.326,0.269,0.595,0.23,0.361,0.266,0.284,27.3
Atlanta Braves,home,Eli White,642201,777909,"White, Eli",2025.0,31.0,91.0,100.0,25.0,14.0,6.0,3.0,2.0,23.0,7.0,23.0,7.0,0.275,0.473,0.333,0.806,0.271,0.411,0.347,0.322,29.9
Atlanta Braves,home,Nick Allen,669397,777909,"Allen, Nick",2025.0,26.0,110.0,121.0,27.0,23.0,4.0,0.0,0.0,30.0,7.0,24.8,5.8,0.245,0.282,0.303,0.585,0.227,0.272,0.268,0.254,27.1
Washington Nationals,away,CJ Abrams,682928,777909,"Abrams, CJ",2025.0,24.0,122.0,137.0,38.0,24.0,7.0,2.0,5.0,25.0,10.0,18.2,7.3,0.311,0.525,0.375,0.9,0.314,0.534,0.39,0.392,28.3
