team,side,player_name,player_id,game_id,"last_name, first_name",year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,sprint_speed
Seattle Mariners,home,Dylan Moore,664238,777453,"Moore, Dylan",2025.0,32.0,145.0,161.0,34.0,22.0,4.0,0.0,8.0,52.0,14.0,32.3,8.7,0.234,0.428,0.298,0.726,0.223,0.393,0.316,0.303,27.6
Seattle Mariners,home,Julio Rodríguez,677594,777453,"Rodríguez, Julio",2025.0,24.0,291.0,318.0,75.0,53.0,9.0,3.0,10.0,63.0,21.0,19.8,6.6,0.258,0.412,0.321,0.733,0.271,0.458,0.323,0.342,29.3
Seattle Mariners,home,Cal Raleigh,663728,777453,"Raleigh, Cal",2025.0,28.0,263.0,310.0,70.0,30.0,13.0,0.0,27.0,79.0,42.0,25.5,13.5,0.266,0.624,0.374,0.998,0.253,0.578,0.419,0.395,26.1
Seattle Mariners,home,Jorge Polanco,593871,777453,"Polanco, Jorge",2025.0,31.0,201.0,220.0,52.0,33.0,8.0,0.0,11.0,27.0,13.0,12.3,5.9,0.259,0.463,0.306,0.769,0.297,0.484,0.332,0.359,25.2
Seattle Mariners,home,Randy Arozarena,668227,777453,"Arozarena, Randy",2025.0,30.0,254.0,304.0,57.0,34.0,14.0,1.0,8.0,85.0,37.0,28.0,12.2,0.224,0.382,0.349,0.731,0.234,0.411,0.331,0.347,27.6
Seattle Mariners,home,Mitch Garver,641598,777453,"Garver, Mitch",2025.0,34.0,109.0,126.0,22.0,18.0,3.0,0.0,1.0,38.0,16.0,30.2,12.7,0.202,0.257,0.31,0.567,0.2,0.33,0.267,0.289,25.7
Seattle Mariners,home,Donovan Solano,456781,777453,"Solano, Donovan",2025.0,37.0,88.0,94.0,17.0,14.0,2.0,0.0,1.0,22.0,4.0,23.4,4.3,0.193,0.25,0.234,0.484,0.228,0.343,0.219,0.266,24.6
Seattle Mariners,home,Ben Williamson,810938,777453,"Williamson, Ben",2025.0,24.0,178.0,189.0,45.0,36.0,8.0,0.0,1.0,49.0,9.0,25.9,4.8,0.253,0.315,0.293,0.608,0.237,0.326,0.272,0.268,28.0
Seattle Mariners,home,Miles Mastrobuoni,670156,777453,"Mastrobuoni, Miles",2025.0,29.0,113.0,131.0,27.0,23.0,3.0,0.0,1.0,22.0,14.0,16.8,10.7,0.239,0.292,0.32,0.612,0.292,0.395,0.281,0.338,28.3
Boston Red Sox,away,Jarren Duran,680776,777453,"Duran, Jarren",2025.0,28.0,314.0,342.0,82.0,51.0,18.0,8.0,5.0,82.0,21.0,24.0,6.1,0.261,0.417,0.316,0.733,0.258,0.412,0.32,0.322,29.1
Boston Red Sox,away,Abraham Toro,647351,777453,"Toro, Abraham",2025.0,28.0,107.0,114.0,33.0,20.0,8.0,0.0,5.0,19.0,4.0,16.7,3.5,0.308,0.523,0.342,0.865,0.28,0.445,0.373,0.328,27.8
Boston Red Sox,away,Roman Anthony,701350,777453,"Anthony, Roman",2025.0,21.0,25.0,27.0,2.0,0.0,1.0,0.0,1.0,8.0,2.0,29.6,7.4,0.08,0.24,0.148,0.388,0.183,0.329,0.175,0.254,26.7
Boston Red Sox,away,Romy Gonzalez,663853,777453,"Gonzalez, Romy",2025.0,28.0,87.0,94.0,28.0,16.0,10.0,1.0,1.0,22.0,5.0,23.4,5.3,0.322,0.494,0.362,0.856,0.282,0.509,0.37,0.368,28.1
Boston Red Sox,away,Marcelo Mayer,691785,777453,"Mayer, Marcelo",2025.0,22.0,56.0,61.0,12.0,6.0,3.0,0.0,3.0,19.0,4.0,31.1,6.6,0.214,0.429,0.262,0.691,0.225,0.42,0.297,0.298,27.9
Boston Red Sox,away,Trevor Story,596115,777453,"Story, Trevor",2025.0,32.0,274.0,292.0,63.0,47.0,7.0,0.0,9.0,87.0,14.0,29.8,4.8,0.23,0.354,0.275,0.629,0.239,0.405,0.279,0.299,28.4
Boston Red Sox,away,David Hamilton,666152,777453,"Hamilton, David",2025.0,27.0,90.0,96.0,16.0,11.0,3.0,0.0,2.0,26.0,3.0,27.1,3.1,0.178,0.278,0.213,0.491,0.204,0.289,0.218,0.233,29.2
Boston Red Sox,away,Kristian Campbell,692225,777453,"Campbell, Kristian",2025.0,23.0,226.0,260.0,51.0,35.0,10.0,0.0,6.0,70.0,29.0,26.9,11.2,0.226,0.35,0.323,0.673,0.225,0.343,0.305,0.3,27.3
Boston Red Sox,away,Connor Wong,657136,777453,"Wong, Connor",2025.0,29.0,62.0,71.0,9.0,9.0,0.0,0.0,0.0,17.0,8.0,23.9,11.3,0.145,0.145,0.254,0.399,0.242,0.346,0.201,0.309,27.8
Miami Marlins,home,Xavier Edwards,669364,777465,"Edwards, Xavier",2025.0,25.0,224.0,254.0,66.0,59.0,6.0,1.0,0.0,37.0,25.0,14.6,9.8,0.295,0.33,0.365,0.695,0.267,0.323,0.315,0.3,27.7
