team,side,player_name,player_id,game_id,"last_name, first_name",year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba
Los Angeles Angels,away,Matthew Lugo,683090,777947,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Los Angeles Angels,away,Kyren Paris,677347,777947,"Paris, Kyren",2025.0,23.0,106.0,118.0,22.0,12.0,3.0,1.0,6.0,46.0,8.0,39.0,6.8,0.208,0.425,0.282,0.707,0.204,0.407,0.311,0.3
Los Angeles Angels,away,Tim Anderson,641313,777947,"Anderson, Tim",2025.0,32.0,66.0,71.0,13.0,12.0,1.0,0.0,0.0,21.0,3.0,29.6,4.2,0.197,0.212,0.243,0.455,0.193,0.24,0.212,0.217
Seattle Mariners,home,J.P. Crawford,641487,777941,"Crawford, J.P.",2025.0,30.0,131.0,157.0,37.0,30.0,4.0,0.0,3.0,28.0,23.0,17.8,14.6,0.282,0.382,0.394,0.776,0.281,0.435,0.355,0.368
Seattle Mariners,home,Jorge Polanco,593871,777941,"Polanco, Jorge",2025.0,31.0,101.0,111.0,33.0,18.0,6.0,0.0,9.0,12.0,7.0,10.8,6.3,0.327,0.653,0.373,1.026,0.35,0.622,0.437,0.436
Seattle Mariners,home,Julio Rodríguez,677594,777941,"Rodríguez, Julio",2025.0,24.0,158.0,179.0,36.0,24.0,4.0,2.0,6.0,35.0,17.0,19.6,9.5,0.228,0.392,0.318,0.71,0.264,0.483,0.317,0.36
Seattle Mariners,home,Cal Raleigh,663728,777941,"Raleigh, Cal",2025.0,28.0,141.0,170.0,34.0,15.0,7.0,0.0,12.0,43.0,27.0,25.3,15.9,0.241,0.546,0.371,0.917,0.249,0.553,0.394,0.395
Seattle Mariners,home,Randy Arozarena,668227,777941,"Arozarena, Randy",2025.0,30.0,131.0,162.0,31.0,17.0,9.0,0.0,5.0,43.0,26.0,26.5,16.0,0.237,0.42,0.383,0.803,0.248,0.456,0.363,0.376
Seattle Mariners,home,Rowdy Tellez,642133,777941,"Tellez, Rowdy",2025.0,30.0,85.0,92.0,17.0,8.0,3.0,0.0,6.0,26.0,4.0,28.3,4.3,0.2,0.447,0.25,0.697,0.236,0.467,0.301,0.328
Seattle Mariners,home,Leody Taveras,665750,777941,"Taveras, Leody",2025.0,26.0,93.0,97.0,22.0,16.0,4.0,1.0,1.0,30.0,2.0,30.9,2.1,0.237,0.333,0.25,0.583,0.189,0.246,0.255,0.197
Seattle Mariners,home,Dylan Moore,664238,777941,"Moore, Dylan",2025.0,32.0,85.0,94.0,24.0,15.0,2.0,0.0,7.0,23.0,7.0,24.5,7.4,0.282,0.553,0.33,0.883,0.271,0.506,0.377,0.361
Seattle Mariners,home,Ben Williamson,810938,777941,"Williamson, Ben",2025.0,24.0,83.0,86.0,21.0,16.0,4.0,0.0,1.0,21.0,3.0,24.4,3.5,0.253,0.337,0.279,0.616,0.264,0.398,0.274,0.299
San Francisco Giants,home,Mike Yastrzemski,573262,777939,"Yastrzemski, Mike",2025.0,34.0,127.0,147.0,35.0,23.0,7.0,0.0,5.0,29.0,19.0,19.7,12.9,0.276,0.449,0.374,0.823,0.267,0.444,0.364,0.355
San Francisco Giants,home,Matt Chapman,656305,777939,"Chapman, Matt",2025.0,32.0,142.0,172.0,32.0,18.0,6.0,0.0,8.0,46.0,30.0,26.7,17.4,0.225,0.437,0.36,0.797,0.238,0.459,0.357,0.364
San Francisco Giants,home,Heliot Ramos,671218,777939,"Ramos, Heliot",2025.0,25.0,151.0,170.0,42.0,25.0,10.0,0.0,7.0,40.0,13.0,23.5,7.6,0.278,0.483,0.347,0.83,0.267,0.513,0.363,0.365
San Francisco Giants,home,Jung Hoo Lee,808982,777939,"Lee, Jung Hoo",2025.0,26.0,154.0,168.0,44.0,27.0,11.0,2.0,4.0,21.0,11.0,12.5,6.5,0.286,0.461,0.333,0.794,0.297,0.439,0.346,0.343
San Francisco Giants,home,Wilmer Flores,527038,777939,"Flores, Wilmer",2025.0,33.0,140.0,151.0,34.0,25.0,2.0,0.0,7.0,32.0,10.0,21.2,6.6,0.243,0.407,0.298,0.705,0.232,0.363,0.312,0.287
San Francisco Giants,home,Willy Adames,642715,777939,"Adames, Willy",2025.0,29.0,161.0,182.0,35.0,24.0,7.0,0.0,4.0,47.0,18.0,25.8,9.9,0.217,0.335,0.297,0.632,0.21,0.385,0.286,0.299
San Francisco Giants,home,Patrick Bailey,672275,777939,"Bailey, Patrick",2025.0,26.0,105.0,114.0,19.0,12.0,6.0,1.0,0.0,37.0,6.0,32.5,5.3,0.181,0.257,0.219,0.476,0.179,0.304,0.212,0.229
San Francisco Giants,home,Luis Matos,682641,777939,"Matos, Luis",2025.0,23.0,54.0,57.0,10.0,5.0,2.0,0.0,3.0,7.0,3.0,12.3,5.3,0.185,0.389,0.228,0.617,0.248,0.428,0.269,0.308
San Francisco Giants,home,Christian Koss,683766,777939,"Koss, Christian",2025.0,27.0,47.0,52.0,10.0,10.0,0.0,0.0,0.0,14.0,3.0,26.9,5.8,0.213,0.213,0.275,0.488,0.269,0.424,0.231,0.328
