team,side,player_name,player_id,game_id,"last_name, first_name",year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,sprint_speed
Chicago White Sox,home,Chase Meidroth,805367,777172,"Meidroth, Chase",2025.0,23.0,243.0,278.0,61.0,53.0,6.0,0.0,2.0,40.0,31.0,14.4,11.2,0.251,0.3,0.342,0.642,0.254,0.33,0.296,0.308,27.1
Chicago White Sox,home,Austin Slater,596103,777172,"Slater, Austin",2025.0,32.0,91.0,101.0,21.0,11.0,6.0,1.0,3.0,29.0,9.0,28.7,8.9,0.231,0.418,0.3,0.718,0.246,0.485,0.313,0.343,28.0
Chicago White Sox,home,Miguel Vargas,678246,777172,"Vargas, Miguel",2025.0,25.0,324.0,362.0,71.0,38.0,21.0,2.0,10.0,63.0,33.0,17.4,9.1,0.219,0.389,0.298,0.687,0.239,0.409,0.303,0.317,27.3
Chicago White Sox,home,Edgar Quero,700337,777172,"Quero, Edgar",2025.0,22.0,175.0,197.0,47.0,39.0,7.0,0.0,1.0,36.0,19.0,18.3,9.6,0.269,0.326,0.345,0.671,0.244,0.326,0.305,0.295,25.0
Chicago White Sox,home,Luis Robert Jr.,673357,777172,"Robert Jr., Luis",2025.0,27.0,251.0,287.0,47.0,31.0,8.0,0.0,8.0,88.0,29.0,30.7,10.1,0.187,0.315,0.272,0.587,0.234,0.404,0.262,0.311,29.1
Chicago White Sox,home,Lenyn Sosa,672820,777172,"Sosa, Lenyn",2025.0,25.0,268.0,277.0,73.0,51.0,14.0,1.0,7.0,64.0,7.0,23.1,2.5,0.272,0.41,0.293,0.703,0.277,0.448,0.306,0.32,26.6
Chicago White Sox,home,Tim Elko,671284,777172,"Elko, Tim",2025.0,26.0,58.0,63.0,9.0,4.0,1.0,0.0,4.0,24.0,5.0,38.1,7.9,0.155,0.379,0.222,0.601,0.177,0.378,0.262,0.269,27.8
Chicago White Sox,home,Colson Montgomery,695657,777172,"Montgomery, Colson",2025.0,23.0,15.0,19.0,6.0,5.0,0.0,1.0,0.0,3.0,3.0,15.8,15.8,0.4,0.533,0.5,1.033,0.355,0.457,0.451,0.41,27.6
Chicago White Sox,home,Michael A. Taylor,572191,777172,"Taylor, Michael A.",2025.0,34.0,167.0,187.0,37.0,19.0,12.0,1.0,5.0,66.0,17.0,35.3,9.1,0.222,0.395,0.296,0.691,0.223,0.453,0.303,0.325,27.7
Toronto Blue Jays,away,Nathan Lukes,664770,777172,"Lukes, Nathan",2025.0,30.0,170.0,203.0,46.0,35.0,6.0,0.0,5.0,23.0,25.0,11.3,12.3,0.271,0.394,0.369,0.763,0.278,0.387,0.338,0.337,26.6
Toronto Blue Jays,away,Bo Bichette,666182,777172,"Bichette, Bo",2025.0,27.0,377.0,403.0,103.0,69.0,21.0,1.0,12.0,65.0,22.0,16.1,5.5,0.273,0.43,0.315,0.745,0.312,0.519,0.323,0.374,26.2
Toronto Blue Jays,away,Vladimir Guerrero Jr.,665489,777172,"Guerrero Jr., Vladimir",2025.0,26.0,336.0,397.0,94.0,63.0,19.0,0.0,12.0,55.0,53.0,13.9,13.4,0.28,0.443,0.385,0.828,0.32,0.53,0.361,0.408,27.0
Toronto Blue Jays,away,Addison Barger,680718,777172,"Barger, Addison",2025.0,25.0,231.0,252.0,62.0,29.0,21.0,0.0,12.0,60.0,19.0,23.8,7.5,0.268,0.515,0.327,0.842,0.294,0.546,0.358,0.378,27.8
