team,side,player_name_x,player_id,game_id,player_name_y,Pitcher Handedness,pa,ab,hit,single,double,triple,home_run,walk,strikeout,batting_avg,slg_percent,sprint_speed
Cincinnati Reds,home,TJ Friedl,670770,776792,"Friedl, TJ",L,137,115,31,26,1,1,3,15,23,0.2695652173913043,0.3739130434782609,26.8
Cincinnati Reds,home,TJ Friedl,670770,776792,"Friedl, TJ",R,360,297,83,59,16,1,7,55,58,0.2794612794612794,0.4107744107744108,26.8
Cincinnati Reds,home,Spencer Steer,668715,776792,"Steer, Spencer",L,97,90,20,13,4,0,3,6,28,0.2222222222222222,0.3666666666666666,28.2
Cincinnati Reds,home,Spencer Steer,668715,776792,"Steer, Spencer",R,334,301,75,50,12,2,11,30,70,0.2491694352159468,0.4119601328903654,28.2
Cincinnati Reds,home,Elly De La Cruz,682829,776792,"De La Cruz, Elly",L,155,146,35,26,4,0,5,7,49,0.2397260273972602,0.3698630136986301,29.1
Cincinnati Reds,home,Elly De La Cruz,682829,776792,"De La Cruz, Elly",R,350,309,92,55,20,3,14,38,81,0.2977346278317152,0.517799352750809,29.1
Cincinnati Reds,home,Miguel Andujar,609280,776792,"Andujar, Miguel",L,50,47,20,16,2,0,2,2,12,0.425531914893617,0.5957446808510638,27.1
Cincinnati Reds,home,Miguel Andujar,609280,776792,"Andujar, Miguel",R,200,182,51,35,10,1,5,12,23,0.2802197802197802,0.4285714285714285,27.1
Cincinnati Reds,home,Gavin Lux,666158,776792,"Lux, Gavin",L,54,46,8,7,1,0,0,7,16,0.1739130434782608,0.1956521739130435,27.9
Cincinnati Reds,home,Gavin Lux,666158,776792,"Lux, Gavin",R,327,286,84,60,19,1,4,36,72,0.2937062937062937,0.4090909090909091,27.9
Cincinnati Reds,home,Noelvi Marte,682622,776792,"Marte, Noelvi",L,46,39,8,8,0,0,0,6,13,0.2051282051282051,0.2051282051282051,29.1
Cincinnati Reds,home,Noelvi Marte,682622,776792,"Marte, Noelvi",R,137,128,41,20,12,1,8,5,21,0.3203125,0.6171875,29.1
Cincinnati Reds,home,Tyler Stephenson,663886,776792,"Stephenson, Tyler",L,61,49,14,7,5,0,2,10,14,0.2857142857142857,0.5102040816326531,26.7
Cincinnati Reds,home,Tyler Stephenson,663886,776792,"Stephenson, Tyler",R,213,187,43,26,10,0,7,20,82,0.2299465240641711,0.3957219251336898,26.7
Cincinnati Reds,home,Matt McLain,680574,776792,"McLain, Matt",L,109,92,19,13,4,0,2,16,31,0.2065217391304347,0.3152173913043478,29.2
Cincinnati Reds,home,Matt McLain,680574,776792,"McLain, Matt",R,334,294,70,53,8,0,9,31,87,0.238095238095238,0.3571428571428571,29.2
Cincinnati Reds,home,Ke'Bryan Hayes,663647,776792,"Hayes, Ke'Bryan",L,90,86,18,15,3,0,0,2,19,0.2093023255813953,0.2441860465116279,27.2
Cincinnati Reds,home,Ke'Bryan Hayes,663647,776792,"Hayes, Ke'Bryan",R,336,308,75,62,8,2,3,20,63,0.2435064935064935,0.3116883116883117,27.2
Philadelphia Phillies,away,Trea Turner,607208,776792,"Turner, Trea",L,162,148,43,31,6,3,3,11,27,0.2905405405405405,0.4324324324324324,30.2
Philadelphia Phillies,away,Trea Turner,607208,776792,"Turner, Trea",R,360,317,91,62,19,1,9,31,62,0.2870662460567823,0.4384858044164038,30.2
Philadelphia Phillies,away,Kyle Schwarber,656941,776792,"Schwarber, Kyle",L,191,157,42,18,7,1,16,31,51,0.267515923566879,0.6305732484076433,25.9
Philadelphia Phillies,away,Kyle Schwarber,656941,776792,"Schwarber, Kyle",R,325,272,67,32,10,0,25,50,88,0.2463235294117647,0.5588235294117647,25.9
Philadelphia Phillies,away,Bryce Harper,547180,776792,"Harper, Bryce",L,149,134,36,21,8,0,7,12,35,0.2686567164179104,0.4850746268656716,27.0
Philadelphia Phillies,away,Bryce Harper,547180,776792,"Harper, Bryce",R,239,195,51,23,18,0,10,39,47,0.2615384615384615,0.5076923076923077,27.0
Philadelphia Phillies,away,J.T. Realmuto,592663,776792,"Realmuto, J.T.",L,113,107,21,12,8,0,1,5,29,0.1962616822429906,0.2990654205607476,28.3
