team,side,player_name_x,player_id,game_id,player_name_y,Pitcher Handedness,pa,ab,hit,single,double,triple,home_run,walk,strikeout,batting_avg,slg_percent,sprint_speed
Boston Red Sox,home,Rob Refsnyder,608701,776895,"Refsnyder, Rob",L,106,86,25,13,7,0,5,15,28,0.2906976744186046,0.5465116279069767,26.6
Boston Red Sox,home,Rob Refsnyder,608701,776895,"Refsnyder, Rob",R,41,38,10,7,2,0,1,3,11,0.2631578947368421,0.3947368421052631,26.6
Boston Red Sox,home,Alex Bregman,608324,776895,"Bregman, Alex",L,76,63,22,17,3,0,2,13,12,0.3492063492063492,0.492063492063492,26.1
Boston Red Sox,home,Alex Bregman,608324,776895,"Bregman, Alex",R,206,187,53,24,17,0,12,15,37,0.2834224598930481,0.5668449197860963,26.1
Boston Red Sox,home,Roman Anthony,701350,776895,"Anthony, Roman",L,60,54,14,12,1,0,1,6,23,0.2592592592592592,0.3333333333333333,27.8
Boston Red Sox,home,Roman Anthony,701350,776895,"Anthony, Roman",R,126,100,30,15,13,1,1,25,23,0.3,0.48,27.8
Boston Red Sox,home,Romy Gonzalez,663853,776895,"Gonzalez, Romy",L,98,88,31,15,8,2,6,7,26,0.3522727272727273,0.6931818181818182,28.2
Boston Red Sox,home,Romy Gonzalez,663853,776895,"Gonzalez, Romy",R,88,80,20,9,8,1,2,4,21,0.25,0.45,28.2
Boston Red Sox,home,Trevor Story,596115,776895,"Story, Trevor",L,115,106,28,18,5,0,5,6,31,0.2641509433962264,0.4528301886792453,28.5
Boston Red Sox,home,Trevor Story,596115,776895,"Story, Trevor",R,328,305,77,50,14,0,13,20,95,0.2524590163934426,0.4262295081967213,28.5
Boston Red Sox,home,Ceddanne Rafaela,678882,776895,"Rafaela, Ceddanne",L,120,108,25,12,6,1,6,8,23,0.2314814814814814,0.4722222222222222,29.0
Boston Red Sox,home,Ceddanne Rafaela,678882,776895,"Rafaela, Ceddanne",R,279,258,72,45,17,2,8,13,52,0.2790697674418604,0.4534883720930232,29.0
Boston Red Sox,home,Abraham Toro,647351,776895,"Toro, Abraham",L,61,51,15,10,4,0,1,5,9,0.2941176470588235,0.4313725490196078,27.7
Boston Red Sox,home,Abraham Toro,647351,776895,"Toro, Abraham",R,177,158,41,27,9,0,5,13,26,0.2594936708860759,0.4113924050632911,27.7
Boston Red Sox,home,Wilyer Abreu,677800,776895,"Abreu, Wilyer",L,50,45,9,5,3,0,1,5,10,0.2,0.3333333333333333,27.7
Boston Red Sox,home,Wilyer Abreu,677800,776895,"Abreu, Wilyer",R,289,263,67,38,10,0,19,23,74,0.2547528517110266,0.5095057034220533,27.7
Boston Red Sox,home,Connor Wong,657136,776895,"Wong, Connor",L,21,18,3,3,0,0,0,3,6,0.1666666666666666,0.1666666666666666,27.9
Boston Red Sox,home,Connor Wong,657136,776895,"Wong, Connor",R,88,78,13,11,2,0,0,8,18,0.1666666666666666,0.1923076923076923,27.9
Houston Astros,away,Jeremy Peña,665161,776895,"Peña, Jeremy",L,54,49,17,14,0,0,3,5,4,0.3469387755102041,0.5306122448979592,29.6
Houston Astros,away,Jeremy Peña,665161,776895,"Peña, Jeremy",R,300,269,88,61,18,1,8,24,51,0.3271375464684015,0.4907063197026022,29.6
Houston Astros,away,Jose Altuve,514888,776895,"Altuve, Jose",L,76,67,17,12,1,0,4,7,18,0.2537313432835821,0.4477611940298507,27.2
Houston Astros,away,Jose Altuve,514888,776895,"Altuve, Jose",R,376,333,98,67,16,1,14,30,54,0.2942942942942942,0.4744744744744745,27.2
Houston Astros,away,Jesús Sánchez,660821,776895,"Sánchez, Jesús",L,59,55,7,5,1,0,1,4,16,0.1272727272727272,0.2,26.7
Houston Astros,away,Jesús Sánchez,660821,776895,"Sánchez, Jesús",R,287,255,73,49,11,4,9,26,53,0.2862745098039215,0.4666666666666667,26.7
Houston Astros,away,Carlos Correa,621043,776895,"Correa, Carlos",L,89,79,23,14,5,0,4,10,17,0.2911392405063291,0.5063291139240507,26.5
Houston Astros,away,Carlos Correa,621043,776895,"Correa, Carlos",R,285,262,69,52,14,0,3,17,52,0.2633587786259542,0.3511450381679389,26.5
Houston Astros,away,Christian Walker,572233,776895,"Walker, Christian",L,82,73,16,13,2,0,1,7,20,0.2191780821917808,0.2876712328767123,26.2
Houston Astros,away,Christian Walker,572233,776895,"Walker, Christian",R,360,323,80,51,14,1,14,31,97,0.2476780185758514,0.4272445820433436,26.2
Houston Astros,away,Yainer Diaz,673237,776895,"Diaz, Yainer",L,75,71,20,14,1,0,5,2,14,0.2816901408450704,0.5070422535211268,27.2
Houston Astros,away,Yainer Diaz,673237,776895,"Diaz, Yainer",R,320,299,75,50,14,1,10,14,52,0.2508361204013378,0.4046822742474916,27.2
Houston Astros,away,Taylor Trammell,666211,776895,"Trammell, Taylor",L,11,10,3,2,1,0,0,1,4,0.3,0.4,27.6
Houston Astros,away,Taylor Trammell,666211,776895,"Trammell, Taylor",R,69,58,14,8,4,0,2,10,20,0.2413793103448276,0.4137931034482758,27.6
Houston Astros,away,Mauricio Dubón,643289,776895,"Dubón, Mauricio",L,62,56,16,9,6,0,1,5,6,0.2857142857142857,0.4464285714285714,27.9
Houston Astros,away,Mauricio Dubón,643289,776895,"Dubón, Mauricio",R,208,190,50,35,10,0,5,13,20,0.2631578947368421,0.3947368421052631,27.9
Houston Astros,away,Ramón Urías,602104,776895,"Urías, Ramón",L,81,71,20,15,3,0,2,8,18,0.2816901408450704,0.4084507042253521,27.0
Houston Astros,away,Ramón Urías,602104,776895,"Urías, Ramón",R,213,186,45,30,9,0,6,16,42,0.2419354838709677,0.3870967741935484,27.0
Tampa Bay Rays,home,Yandy Díaz,650490,776889,"Díaz, Yandy",L,127,111,30,16,5,0,9,12,10,0.2702702702702703,0.5585585585585585,26.0
Tampa Bay Rays,home,Yandy Díaz,650490,776889,"Díaz, Yandy",R,338,300,90,64,14,1,11,27,56,0.3,0.4633333333333333,26.0
Tampa Bay Rays,home,Brandon Lowe,664040,776889,"Lowe, Brandon",L,84,75,14,11,0,0,3,4,22,0.1866666666666666,0.3066666666666666,26.6
Tampa Bay Rays,home,Brandon Lowe,664040,776889,"Lowe, Brandon",R,284,259,78,50,12,0,16,21,71,0.3011583011583011,0.5328185328185329,26.6
Tampa Bay Rays,home,Junior Caminero,691406,776889,"Caminero, Junior",L,125,115,26,15,4,0,7,5,26,0.2260869565217391,0.4434782608695652,26.6
Tampa Bay Rays,home,Junior Caminero,691406,776889,"Caminero, Junior",R,322,289,78,41,16,0,21,20,62,0.2698961937716263,0.5432525951557093,26.6
Tampa Bay Rays,home,Josh Lowe,666139,776889,"Lowe, Josh",L,63,61,14,8,5,0,1,2,18,0.2295081967213114,0.360655737704918,27.9
Tampa Bay Rays,home,Josh Lowe,666139,776889,"Lowe, Josh",R,203,177,44,30,7,1,6,21,40,0.2485875706214689,0.4011299435028249,27.9
Tampa Bay Rays,home,Ha-Seong Kim,673490,776889,"Kim, Ha-Seong",L,15,13,1,1,0,0,0,1,3,0.0769230769230769,0.0769230769230769,27.7
Tampa Bay Rays,home,Ha-Seong Kim,673490,776889,"Kim, Ha-Seong",R,28,25,7,5,1,0,1,3,8,0.28,0.44,27.7
Tampa Bay Rays,home,Hunter Feduccia,676439,776889,"Feduccia, Hunter",L,2,2,0,0,0,0,0,0,2,0.0,0.0,0.0
Tampa Bay Rays,home,Hunter Feduccia,676439,776889,"Feduccia, Hunter",R,4,3,0,0,0,0,0,1,1,0.0,0.0,0.0
Tampa Bay Rays,home,Jake Mangum,663968,776889,"Mangum, Jake",L,83,74,17,15,2,0,0,3,11,0.2297297297297297,0.2567567567567567,29.1
Tampa Bay Rays,home,Jake Mangum,663968,776889,"Mangum, Jake",R,190,176,55,43,9,1,2,12,29,0.3125,0.4090909090909091,29.1
Tampa Bay Rays,home,Jonny DeLuca,676356,776889,"DeLuca, Jonny",L,15,15,4,3,0,1,0,0,4,0.2666666666666666,0.4,29.3
Tampa Bay Rays,home,Jonny DeLuca,676356,776889,"DeLuca, Jonny",R,30,28,12,11,0,1,0,2,6,0.4285714285714285,0.5,29.3
Tampa Bay Rays,home,Taylor Walls,670764,776889,"Walls, Taylor",L,96,87,23,18,5,0,0,4,19,0.264367816091954,0.3218390804597701,28.2
Tampa Bay Rays,home,Taylor Walls,670764,776889,"Walls, Taylor",R,207,178,38,25,8,1,4,21,44,0.2134831460674157,0.3370786516853932,28.2
Los Angeles Dodgers,away,Shohei Ohtani,660271,776889,"Ohtani, Shohei",L,161,146,43,25,6,4,8,14,48,0.2945205479452055,0.5547945205479452,28.0
