team,side,player_name,player_id,game_id,"last_name, first_name",year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,sprint_speed
Detroit Tigers,home,Colt Keith,690993,777211,"Keith, Colt",2025.0,23.0,235.0,269.0,60.0,38.0,14.0,2.0,6.0,54.0,30.0,20.1,11.2,0.255,0.409,0.338,0.747,0.279,0.485,0.329,0.369,28.0
Detroit Tigers,home,Gleyber Torres,650402,777211,"Torres, Gleyber",2025.0,28.0,277.0,333.0,77.0,55.0,13.0,0.0,9.0,42.0,48.0,12.6,14.4,0.278,0.422,0.387,0.809,0.293,0.509,0.36,0.393,26.2
Detroit Tigers,home,Zach McKinstry,656716,777211,"McKinstry, Zach",2025.0,30.0,270.0,307.0,77.0,51.0,12.0,8.0,6.0,68.0,29.0,22.1,9.4,0.285,0.456,0.356,0.812,0.271,0.38,0.351,0.321,28.2
Detroit Tigers,home,Riley Greene,682985,777211,"Greene, Riley",2025.0,24.0,343.0,373.0,98.0,55.0,21.0,0.0,22.0,116.0,27.0,31.1,7.2,0.286,0.539,0.34,0.879,0.261,0.541,0.377,0.363,26.8
Detroit Tigers,home,Spencer Torkelson,679529,777211,"Torkelson, Spencer",2025.0,25.0,306.0,358.0,72.0,33.0,19.0,0.0,20.0,84.0,40.0,23.5,11.2,0.235,0.493,0.335,0.828,0.241,0.525,0.353,0.366,26.6
Detroit Tigers,home,Dillon Dingler,693307,777211,"Dingler, Dillon",2025.0,26.0,237.0,250.0,63.0,45.0,9.0,1.0,8.0,59.0,8.0,23.6,3.2,0.266,0.414,0.3,0.714,0.285,0.475,0.311,0.342,27.5
Detroit Tigers,home,Parker Meadows,678009,777211,"Meadows, Parker",2025.0,25.0,92.0,102.0,18.0,13.0,2.0,1.0,2.0,28.0,10.0,27.5,9.8,0.196,0.304,0.275,0.579,0.235,0.377,0.262,0.304,28.5
Detroit Tigers,home,Trey Sweeney,700242,777211,"Sweeney, Trey",2025.0,25.0,214.0,238.0,47.0,36.0,5.0,1.0,5.0,60.0,20.0,25.2,8.4,0.22,0.322,0.282,0.604,0.214,0.323,0.269,0.267,28.4
Detroit Tigers,home,Javier Báez,595879,777211,"Báez, Javier",2025.0,32.0,254.0,269.0,71.0,48.0,13.0,1.0,9.0,60.0,9.0,22.3,3.3,0.28,0.445,0.316,0.761,0.253,0.408,0.331,0.305,27.4
Tampa Bay Rays,away,Yandy Díaz,650490,777211,"Díaz, Yandy",2025.0,33.0,339.0,374.0,98.0,65.0,18.0,1.0,14.0,53.0,28.0,14.2,7.5,0.289,0.472,0.345,0.817,0.303,0.508,0.351,0.375,26.0
Tampa Bay Rays,away,Jonathan Aranda,666018,777211,"Aranda, Jonathan",2025.0,27.0,291.0,332.0,93.0,66.0,17.0,0.0,10.0,79.0,32.0,23.8,9.6,0.32,0.481,0.398,0.879,0.307,0.537,0.383,0.4,25.9
Tampa Bay Rays,away,Junior Caminero,691406,777211,"Caminero, Junior",2025.0,21.0,329.0,356.0,85.0,45.0,19.0,0.0,21.0,67.0,21.0,18.8,5.9,0.258,0.508,0.301,0.809,0.265,0.478,0.343,0.341,26.6
Tampa Bay Rays,away,Josh Lowe,666139,777211,"Lowe, Josh",2025.0,27.0,168.0,186.0,45.0,29.0,10.0,0.0,6.0,40.0,16.0,21.5,8.6,0.268,0.435,0.335,0.77,0.289,0.441,0.336,0.346,27.9
Tampa Bay Rays,away,Jake Mangum,663968,777211,"Mangum, Jake",2025.0,29.0,191.0,203.0,59.0,47.0,9.0,1.0,2.0,25.0,10.0,12.3,4.9,0.309,0.398,0.347,0.745,0.273,0.391,0.329,0.309,28.8
Tampa Bay Rays,away,José Caballero,676609,777211,"Caballero, José",2025.0,28.0,196.0,229.0,45.0,30.0,12.0,1.0,2.0,68.0,26.0,29.7,11.4,0.23,0.332,0.327,0.659,0.22,0.316,0.299,0.29,28.0
Tampa Bay Rays,away,Chandler Simpson,802415,777211,"Simpson, Chandler",2025.0,24.0,162.0,176.0,49.0,44.0,4.0,1.0,0.0,15.0,9.0,8.5,5.1,0.302,0.34,0.335,0.675,0.31,0.355,0.3,0.314,29.9
Tampa Bay Rays,away,Taylor Walls,670764,777211,"Walls, Taylor",2025.0,28.0,207.0,236.0,43.0,32.0,7.0,1.0,3.0,50.0,22.0,21.2,9.3,0.208,0.295,0.277,0.572,0.211,0.303,0.256,0.264,28.1
Tampa Bay Rays,away,Danny Jansen,643376,777211,"Jansen, Danny",2025.0,30.0,189.0,218.0,39.0,24.0,6.0,0.0,9.0,53.0,24.0,24.3,11.0,0.206,0.381,0.304,0.685,0.209,0.366,0.305,0.302,26.0
Boston Red Sox,home,Nate Eaton,681987,777209,"Eaton, Nate",2025.0,28.0,18.0,21.0,5.0,4.0,1.0,0.0,0.0,8.0,1.0,38.1,4.8,0.278,0.333,0.333,0.666,0.212,0.238,0.297,0.239,28.8
Boston Red Sox,home,Romy Gonzalez,663853,777209,"Gonzalez, Romy",2025.0,28.0,124.0,135.0,40.0,21.0,15.0,1.0,3.0,31.0,7.0,23.0,5.2,0.323,0.532,0.356,0.888,0.292,0.511,0.375,0.366,28.2
Boston Red Sox,home,Roman Anthony,701350,777209,"Anthony, Roman",2025.0,21.0,83.0,97.0,19.0,11.0,7.0,0.0,1.0,24.0,12.0,24.7,12.4,0.229,0.349,0.34,0.689,0.241,0.426,0.314,0.343,27.5
Boston Red Sox,home,Rob Refsnyder,608701,777209,"Refsnyder, Rob",2025.0,34.0,100.0,116.0,27.0,15.0,7.0,0.0,5.0,30.0,13.0,25.9,11.2,0.27,0.49,0.353,0.843,0.253,0.457,0.361,0.34,26.4
Boston Red Sox,home,Trevor Story,596115,777209,"Story, Trevor",2025.0,32.0,337.0,357.0,85.0,60.0,11.0,0.0,14.0,101.0,16.0,28.3,4.5,0.252,0.409,0.292,0.701,0.249,0.429,0.307,0.309,28.5
Boston Red Sox,home,Carlos Narváez,665966,777209,"Narváez, Carlos",2025.0,26.0,235.0,266.0,64.0,40.0,17.0,0.0,7.0,65.0,29.0,24.4,10.9,0.272,0.434,0.35,0.784,0.227,0.384,0.344,0.307,25.8
Boston Red Sox,home,Wilyer Abreu,677800,777209,"Abreu, Wilyer",2025.0,26.0,253.0,282.0,65.0,38.0,10.0,0.0,17.0,67.0,27.0,23.8,9.6,0.257,0.498,0.326,0.824,0.26,0.517,0.35,0.358,27.5
Boston Red Sox,home,Abraham Toro,647351,777209,"Toro, Abraham",2025.0,28.0,160.0,175.0,47.0,32.0,10.0,0.0,5.0,26.0,10.0,14.9,5.7,0.294,0.45,0.343,0.793,0.275,0.418,0.343,0.325,27.7
Boston Red Sox,home,Ceddanne Rafaela,678882,777209,"Rafaela, Ceddanne",2025.0,24.0,296.0,319.0,78.0,45.0,20.0,2.0,11.0,62.0,15.0,19.4,4.7,0.264,0.456,0.307,0.763,0.265,0.489,0.33,0.341,28.9
Colorado Rockies,away,Tyler Freeman,671289,777209,"Freeman, Tyler",2025.0,26.0,136.0,161.0,46.0,33.0,11.0,1.0,1.0,13.0,16.0,8.1,9.9,0.338,0.456,0.422,0.878,0.322,0.428,0.387,0.378,28.2
Colorado Rockies,away,Hunter Goodman,696100,777209,"Goodman, Hunter",2025.0,25.0,306.0,328.0,86.0,49.0,18.0,3.0,16.0,87.0,18.0,26.5,5.5,0.281,0.516,0.326,0.842,0.257,0.473,0.362,0.333,27.6
Colorado Rockies,away,Mickey Moniak,666160,777209,"Moniak, Mickey",2025.0,27.0,218.0,234.0,56.0,28.0,9.0,6.0,13.0,57.0,14.0,24.4,6.0,0.257,0.532,0.303,0.835,0.258,0.478,0.353,0.334,28.7
