player_id,player_name,Pitcher Handedness,pa,ab,hit,single,double,triple,home_run,walk,strikeout,batting_avg,slg_percent
596019,"Lindor, Francisco",L,157,141,30,21,4,0,5,13,25,0.2127659574468085,0.3475177304964539
596019,"Lindor, Francisco",R,372,329,85,51,18,0,16,36,79,0.25835866261398177,0.45896656534954405
596115,"Story, Trevor",L,128,116,33,23,5,0,5,7,34,0.28448275862068967,0.45689655172413796
596115,"Story, Trevor",R,355,329,82,55,14,0,13,23,105,0.24924012158054712,0.41033434650455924
602104,"Urías, Ramón",L,86,76,22,16,4,0,2,8,19,0.2894736842105263,0.42105263157894735
602104,"Urías, Ramón",R,228,200,49,32,10,0,7,17,45,0.245,0.4
605137,"Bell, Josh",L,89,74,12,7,1,1,3,12,22,0.16216216216216217,0.32432432432432434
605137,"Bell, Josh",R,316,274,70,47,11,0,12,39,48,0.25547445255474455,0.42700729927007297
605141,"Betts, Mookie",L,128,110,29,20,4,0,5,14,13,0.2636363636363636,0.43636363636363634
605141,"Betts, Mookie",R,357,318,76,55,13,1,7,31,41,0.2389937106918239,0.3522012578616352
605170,"Caratini, Victor",L,48,42,9,3,3,0,3,5,15,0.21428571428571427,0.5
605170,"Caratini, Victor",R,255,230,64,48,9,0,7,19,36,0.2782608695652174,0.40869565217391307
606192,"Hernández, Teoscar",L,77,74,25,13,6,0,6,3,11,0.33783783783783783,0.6621621621621622
606192,"Hernández, Teoscar",R,307,284,69,40,17,0,12,15,86,0.24295774647887325,0.4295774647887324
606466,"Marte, Ketel",L,130,116,30,16,8,0,6,13,16,0.25862068965517243,0.4827586206896552
606466,"Marte, Ketel",R,247,207,64,39,9,0,16,38,38,0.30917874396135264,0.5845410628019324
607043,"Nimmo, Brandon",L,151,133,32,23,3,0,6,15,35,0.24060150375939848,0.39849624060150374
607043,"Nimmo, Brandon",R,330,294,76,44,18,0,14,31,70,0.2585034013605442,0.46258503401360546
607208,"Turner, Trea",L,167,153,44,32,6,3,3,11,27,0.2875816993464052,0.42483660130718953
607208,"Turner, Trea",R,363,320,92,62,20,1,9,31,63,0.2875,0.440625
608070,"Ramírez, José",L,140,128,42,28,9,1,4,9,12,0.328125,0.5078125
608070,"Ramírez, José",R,338,300,86,50,14,1,21,28,38,0.2866666666666667,0.55
608324,"Bregman, Alex",L,89,74,27,22,3,0,2,15,13,0.36486486486486486,0.4864864864864865
608324,"Bregman, Alex",R,232,207,59,26,19,0,14,21,39,0.28502415458937197,0.5797101449275363
