game_id,date,away_team,away_score,home_team,home_score,winner
776527,2025-08-30,Milwaukee Brewers,4,Toronto Blue Jays,1,Milwaukee Brewers
776525,2025-08-30,Tampa Bay Rays,4,Washington Nationals,1,Tampa Bay Rays
776539,2025-08-30,Pittsburgh Pirates,10,Boston Red Sox,3,Pittsburgh Pirates
776535,2025-08-30,Miami Marlins,11,New York Mets,8,Miami Marlins
776532,2025-08-30,Atlanta Braves,2,Philadelphia Phillies,3,Philadelphia Phillies
776536,2025-08-30,St. Louis Cardinals,4,Cincinnati Reds,2,St. Louis Cardinals
776531,2025-08-30,Los Angeles Angels,4,Houston Astros,1,Los Angeles Angels
776530,2025-08-30,San Diego Padres,12,Minnesota Twins,3,San Diego Padres
776529,2025-08-30,New York Yankees,5,Chicago White Sox,3,New York Yankees
776528,2025-08-30,Detroit Tigers,1,Kansas City Royals,3,Kansas City Royals
776537,2025-08-30,Seattle Mariners,3,Cleveland Guardians,4,Cleveland Guardians
776516,2025-08-30,Baltimore Orioles,11,San Francisco Giants,1,Baltimore Orioles
776526,2025-08-30,Chicago Cubs,4,Colorado Rockies,3,Chicago Cubs
776523,2025-08-30,Arizona Diamondbacks,6,Los Angeles Dodgers,1,Arizona Diamondbacks
776524,2025-08-30,Texas Rangers,9,Athletics,3,Texas Rangers
