game_id,date,away_team,away_score,home_team,home_score,winner
777869,2025-05-18,Houston Astros,4,Texas Rangers,3,Houston Astros
777873,2025-05-18,Washington Nationals,10,Baltimore Orioles,4,Washington Nationals
777880,2025-05-18,Pittsburgh Pirates,0,Philadelphia Phillies,1,Philadelphia Phillies
777876,2025-05-18,Atlanta Braves,10,Boston Red Sox,4,Atlanta Braves
777871,2025-05-18,Detroit Tigers,3,Toronto Blue Jays,2,Detroit Tigers
777874,2025-05-18,Cleveland Guardians,1,Cincinnati Reds,3,Cincinnati Reds
777877,2025-05-18,Tampa Bay Rays,1,Miami Marlins,5,Miami Marlins
777864,2025-05-18,St. Louis Cardinals,1,Kansas City Royals,2,Kansas City Royals
777865,2025-05-18,Minnesota Twins,2,Milwaukee Brewers,5,Milwaukee Brewers
777872,2025-05-18,Chicago White Sox,2,Chicago Cubs,6,Chicago Cubs
777867,2025-05-18,Athletics,2,San Francisco Giants,3,San Francisco Giants
777870,2025-05-18,Colorado Rockies,0,Arizona Diamondbacks,1,Arizona Diamondbacks
777866,2025-05-18,Los Angeles Angels,6,Los Angeles Dodgers,4,Los Angeles Angels
777868,2025-05-18,Seattle Mariners,6,San Diego Padres,1,Seattle Mariners
777878,2025-05-18,New York Mets,2,New York Yankees,8,New York Yankees
