game_id,date,away_team,away_score,home_team,home_score,winner
777172,2025-07-09,Toronto Blue Jays,1,Chicago White Sox,2,Chicago White Sox
777175,2025-07-09,Los Angeles Dodgers,2,Milwaukee Brewers,3,Milwaukee Brewers
777163,2025-07-09,Philadelphia Phillies,13,San Francisco Giants,0,Philadelphia Phillies
777182,2025-07-09,Tampa Bay Rays,7,Detroit Tigers,3,Tampa Bay Rays
777184,2025-07-09,Seattle Mariners,6,New York Yankees,9,New York Yankees
777179,2025-07-09,Colorado Rockies,2,Boston Red Sox,10,Boston Red Sox
777183,2025-07-09,Miami Marlins,2,Cincinnati Reds,7,Cincinnati Reds
777177,2025-07-09,Pittsburgh Pirates,3,Kansas City Royals,4,Kansas City Royals
777173,2025-07-09,Chicago Cubs,2,Minnesota Twins,4,Minnesota Twins
777178,2025-07-09,Washington Nationals,8,St. Louis Cardinals,2,Washington Nationals
777174,2025-07-09,Cleveland Guardians,4,Houston Astros,2,Cleveland Guardians
777171,2025-07-09,Texas Rangers,8,Los Angeles Angels,11,Los Angeles Angels
777162,2025-07-09,Arizona Diamondbacks,8,San Diego Padres,2,Arizona Diamondbacks
777176,2025-07-09,Atlanta Braves,9,Athletics,2,Atlanta Braves
