game_id,date,away_team,away_score,home_team,home_score,winner
777094,2025-07-19,San Francisco Giants,3,Toronto Blue Jays,6,Toronto Blue Jays
777092,2025-07-19,Cincinnati Reds,5,New York Mets,2,Cincinnati Reds
777093,2025-07-19,Kansas City Royals,1,Miami Marlins,3,Miami Marlins
777089,2025-07-19,Los Angeles Angels,5,Philadelphia Phillies,9,Philadelphia Phillies
777090,2025-07-19,Chicago White Sox,10,Pittsburgh Pirates,4,Chicago White Sox
777091,2025-07-19,San Diego Padres,2,Washington Nationals,4,Washington Nationals
777095,2025-07-19,Baltimore Orioles,3,Tampa Bay Rays,4,Tampa Bay Rays
777088,2025-07-19,Detroit Tigers,1,Texas Rangers,4,Texas Rangers
777104,2025-07-19,Athletics,8,Cleveland Guardians,2,Athletics
777096,2025-07-19,Boston Red Sox,0,Chicago Cubs,6,Chicago Cubs
777081,2025-07-19,St. Louis Cardinals,1,Arizona Diamondbacks,10,Arizona Diamondbacks
777097,2025-07-19,New York Yankees,12,Atlanta Braves,9,New York Yankees
777080,2025-07-19,Minnesota Twins,6,Colorado Rockies,10,Colorado Rockies
777085,2025-07-19,Milwaukee Brewers,8,Los Angeles Dodgers,7,Milwaukee Brewers
777086,2025-07-19,Houston Astros,6,Seattle Mariners,7,Seattle Mariners
