game_id,date,away_team,away_score,home_team,home_score,winner
777222,2025-07-06,Baltimore Orioles,2,Atlanta Braves,1,Baltimore Orioles
777213,2025-07-06,Boston Red Sox,6,Washington Nationals,4,Boston Red Sox
777217,2025-07-06,Cincinnati Reds,1,Philadelphia Phillies,3,Philadelphia Phillies
777214,2025-07-06,Los Angeles Angels,2,Toronto Blue Jays,3,Toronto Blue Jays
777226,2025-07-06,Detroit Tigers,7,Cleveland Guardians,2,Detroit Tigers
777216,2025-07-06,New York Yankees,6,New York Mets,4,New York Yankees
777224,2025-07-06,Milwaukee Brewers,3,Miami Marlins,1,Milwaukee Brewers
777220,2025-07-06,Tampa Bay Rays,7,Minnesota Twins,5,Tampa Bay Rays
777215,2025-07-06,Chicago White Sox,4,Colorado Rockies,6,Colorado Rockies
777218,2025-07-06,Kansas City Royals,4,Arizona Diamondbacks,0,Kansas City Royals
777206,2025-07-06,Houston Astros,5,Los Angeles Dodgers,1,Houston Astros
777205,2025-07-06,Pittsburgh Pirates,0,Seattle Mariners,1,Seattle Mariners
777219,2025-07-06,St. Louis Cardinals,0,Chicago Cubs,11,Chicago Cubs
777207,2025-07-06,Texas Rangers,1,San Diego Padres,4,San Diego Padres
777210,2025-07-06,San Francisco Giants,6,Athletics,2,San Francisco Giants
