game_id,date,away_team,away_score,home_team,home_score,winner
777459,2025-08-18,Milwaukee Brewers,7,Chicago Cubs,0,Milwaukee Brewers
776692,2025-08-18,Houston Astros,0,Detroit Tigers,10,Detroit Tigers
776694,2025-08-18,Toronto Blue Jays,2,Pittsburgh Pirates,5,Pittsburgh Pirates
776688,2025-08-18,St. Louis Cardinals,8,Miami Marlins,3,St. Louis Cardinals
776689,2025-08-18,Seattle Mariners,7,Philadelphia Phillies,12,Philadelphia Phillies
776695,2025-08-18,Baltimore Orioles,6,Boston Red Sox,3,Baltimore Orioles
776696,2025-08-18,Chicago White Sox,13,Atlanta Braves,9,Chicago White Sox
776690,2025-08-18,Texas Rangers,3,Kansas City Royals,4,Kansas City Royals
776693,2025-08-18,Los Angeles Dodgers,3,Colorado Rockies,4,Colorado Rockies
776681,2025-08-18,Cincinnati Reds,4,Los Angeles Angels,1,Cincinnati Reds
776682,2025-08-18,Cleveland Guardians,3,Arizona Diamondbacks,1,Cleveland Guardians
776683,2025-08-18,San Francisco Giants,4,San Diego Padres,3,San Francisco Giants
