game_id,date,away_team,away_score,home_team,home_score,winner
778372,2025-07-29,Toronto Blue Jays,4,Baltimore Orioles,16,Baltimore Orioles
776962,2025-07-29,Toronto Blue Jays,2,Baltimore Orioles,3,Baltimore Orioles
776951,2025-07-29,Colorado Rockies,4,Cleveland Guardians,10,Cleveland Guardians
776953,2025-07-29,Arizona Diamondbacks,2,Detroit Tigers,12,Detroit Tigers
776949,2025-07-29,Tampa Bay Rays,5,New York Yankees,7,New York Yankees
776963,2025-07-29,Los Angeles Dodgers,5,Cincinnati Reds,4,Los Angeles Dodgers
776954,2025-07-29,Boston Red Sox,8,Minnesota Twins,5,Boston Red Sox
776955,2025-07-29,Atlanta Braves,6,Kansas City Royals,9,Kansas City Royals
776952,2025-07-29,Philadelphia Phillies,6,Chicago White Sox,3,Philadelphia Phillies
776956,2025-07-29,Chicago Cubs,3,Milwaukee Brewers,9,Milwaukee Brewers
776946,2025-07-29,Miami Marlins,5,St. Louis Cardinals,0,Miami Marlins
776950,2025-07-29,Washington Nationals,4,Houston Astros,7,Houston Astros
776945,2025-07-29,Texas Rangers,5,Los Angeles Angels,8,Los Angeles Angels
776947,2025-07-29,New York Mets,1,San Diego Padres,7,San Diego Padres
776943,2025-07-29,Pittsburgh Pirates,3,San Francisco Giants,1,Pittsburgh Pirates
776944,2025-07-29,Seattle Mariners,1,Athletics,6,Athletics
