game_id,date,away_team,away_score,home_team,home_score,winner
777924,2025-05-14,Minnesota Twins,6,Baltimore Orioles,3,Minnesota Twins
777938,2025-05-14,Minnesota Twins,8,Baltimore Orioles,6,Minnesota Twins
777922,2025-05-14,St. Louis Cardinals,1,Philadelphia Phillies,2,Philadelphia Phillies
777933,2025-05-14,St. Louis Cardinals,14,Philadelphia Phillies,7,St. Louis Cardinals
777925,2025-05-14,Milwaukee Brewers,9,Cleveland Guardians,5,Milwaukee Brewers
777916,2025-05-14,Arizona Diamondbacks,8,San Francisco Giants,7,Arizona Diamondbacks
777915,2025-05-14,New York Yankees,3,Seattle Mariners,2,New York Yankees
777927,2025-05-14,Boston Red Sox,5,Detroit Tigers,6,Detroit Tigers
777923,2025-05-14,Tampa Bay Rays,1,Toronto Blue Jays,3,Toronto Blue Jays
777919,2025-05-14,Pittsburgh Pirates,4,New York Mets,0,Pittsburgh Pirates
777928,2025-05-14,Chicago White Sox,4,Cincinnati Reds,2,Chicago White Sox
777929,2025-05-14,Washington Nationals,5,Atlanta Braves,4,Washington Nationals
777921,2025-05-14,Miami Marlins,3,Chicago Cubs,1,Miami Marlins
777918,2025-05-14,Colorado Rockies,3,Texas Rangers,8,Texas Rangers
777920,2025-05-14,Kansas City Royals,3,Houston Astros,4,Houston Astros
777914,2025-05-14,Los Angeles Angels,1,San Diego Padres,5,San Diego Padres
777917,2025-05-14,Athletics,3,Los Angeles Dodgers,9,Los Angeles Dodgers
