game_id,date,away_team,away_score,home_team,home_score,winner
776661,2025-08-20,Toronto Blue Jays,1,Pittsburgh Pirates,2,Pittsburgh Pirates
776662,2025-08-20,Seattle Mariners,2,Philadelphia Phillies,11,Philadelphia Phillies
776673,2025-08-20,Houston Astros,2,Detroit Tigers,7,Detroit Tigers
776658,2025-08-20,Cleveland Guardians,2,Arizona Diamondbacks,3,Arizona Diamondbacks
776670,2025-08-20,St. Louis Cardinals,2,Miami Marlins,6,Miami Marlins
776659,2025-08-20,New York Mets,4,Washington Nationals,5,Washington Nationals
776669,2025-08-20,Chicago White Sox,0,Atlanta Braves,1,Atlanta Braves
776664,2025-08-20,New York Yankees,6,Tampa Bay Rays,4,New York Yankees
776666,2025-08-20,Texas Rangers,6,Kansas City Royals,3,Texas Rangers
776665,2025-08-20,Athletics,4,Minnesota Twins,2,Athletics
776663,2025-08-20,Milwaukee Brewers,3,Chicago Cubs,4,Chicago Cubs
776660,2025-08-20,Los Angeles Dodgers,3,Colorado Rockies,8,Colorado Rockies
776652,2025-08-20,Cincinnati Reds,1,Los Angeles Angels,2,Los Angeles Angels
776656,2025-08-20,San Francisco Giants,1,San Diego Padres,8,San Diego Padres
