game_id,date,away_team,away_score,home_team,home_score,winner
776948,2025-07-30,Toronto Blue Jays,9,Baltimore Orioles,8,Toronto Blue Jays
776940,2025-07-30,Arizona Diamondbacks,2,Detroit Tigers,7,Detroit Tigers
776935,2025-07-30,Boston Red Sox,13,Minnesota Twins,1,Boston Red Sox
776937,2025-07-30,Washington Nationals,1,Houston Astros,9,Houston Astros
776936,2025-07-30,Atlanta Braves,0,Kansas City Royals,1,Kansas City Royals
776939,2025-07-30,Philadelphia Phillies,3,Chicago White Sox,9,Chicago White Sox
776929,2025-07-30,Chicago Cubs,10,Milwaukee Brewers,3,Chicago Cubs
776933,2025-07-30,Pittsburgh Pirates,2,San Francisco Giants,1,Pittsburgh Pirates
776931,2025-07-30,New York Mets,0,San Diego Padres,5,San Diego Padres
776942,2025-07-30,Colorado Rockies,0,Cleveland Guardians,5,Cleveland Guardians
776938,2025-07-30,Tampa Bay Rays,4,New York Yankees,5,New York Yankees
776941,2025-07-30,Los Angeles Dodgers,2,Cincinnati Reds,5,Cincinnati Reds
776934,2025-07-30,Miami Marlins,2,St. Louis Cardinals,0,Miami Marlins
776932,2025-07-30,Texas Rangers,6,Los Angeles Angels,3,Texas Rangers
776930,2025-07-30,Seattle Mariners,4,Athletics,5,Athletics
