game_id,date,away_team,away_score,home_team,home_score,winner
777834,2025-05-21,Cincinnati Reds,1,Pittsburgh Pirates,3,Pittsburgh Pirates
777832,2025-05-21,Houston Astros,4,Tampa Bay Rays,8,Tampa Bay Rays
777861,2025-05-21,Cleveland Guardians,5,Minnesota Twins,6,Minnesota Twins
777833,2025-05-21,Chicago Cubs,2,Miami Marlins,1,Chicago Cubs
777826,2025-05-21,Baltimore Orioles,8,Milwaukee Brewers,4,Baltimore Orioles
777827,2025-05-21,Detroit Tigers,5,St. Louis Cardinals,1,Detroit Tigers
777830,2025-05-21,Seattle Mariners,6,Chicago White Sox,5,Seattle Mariners
777819,2025-05-21,Kansas City Royals,8,San Francisco Giants,4,Kansas City Royals
777829,2025-05-21,Cleveland Guardians,5,Minnesota Twins,1,Cleveland Guardians
777831,2025-05-21,New York Mets,5,Boston Red Sox,1,New York Mets
777835,2025-05-21,Texas Rangers,3,New York Yankees,4,New York Yankees
777837,2025-05-21,San Diego Padres,0,Toronto Blue Jays,14,Toronto Blue Jays
777823,2025-05-21,Philadelphia Phillies,9,Colorado Rockies,5,Philadelphia Phillies
777828,2025-05-21,Los Angeles Angels,10,Athletics,5,Los Angeles Angels
777824,2025-05-21,Arizona Diamondbacks,1,Los Angeles Dodgers,3,Los Angeles Dodgers
