game_id,date,away_team,away_score,home_team,home_score,winner
777351,2025-06-26,Athletics,0,Detroit Tigers,8,Detroit Tigers
777354,2025-06-26,Toronto Blue Jays,6,Cleveland Guardians,0,Toronto Blue Jays
777356,2025-06-26,Seattle Mariners,1,Minnesota Twins,10,Minnesota Twins
777353,2025-06-26,Tampa Bay Rays,4,Kansas City Royals,0,Tampa Bay Rays
777350,2025-06-26,Philadelphia Phillies,1,Houston Astros,2,Houston Astros
777348,2025-06-26,Chicago Cubs,3,St. Louis Cardinals,0,Chicago Cubs
777344,2025-06-26,Los Angeles Dodgers,3,Colorado Rockies,1,Los Angeles Dodgers
777347,2025-06-26,Miami Marlins,12,San Francisco Giants,5,Miami Marlins
777352,2025-06-26,Atlanta Braves,0,New York Mets,4,New York Mets
