game_id,date,away_team,away_score,home_team,home_score,winner
776986,2025-07-27,Colorado Rockies,1,Baltimore Orioles,5,Baltimore Orioles
776983,2025-07-27,Los Angeles Dodgers,3,Boston Red Sox,4,Boston Red Sox
776984,2025-07-27,Arizona Diamondbacks,0,Pittsburgh Pirates,6,Pittsburgh Pirates
776988,2025-07-27,Philadelphia Phillies,3,New York Yankees,4,New York Yankees
776982,2025-07-27,Tampa Bay Rays,1,Cincinnati Reds,2,Cincinnati Reds
776987,2025-07-27,Toronto Blue Jays,4,Detroit Tigers,10,Detroit Tigers
776975,2025-07-27,Cleveland Guardians,1,Kansas City Royals,4,Kansas City Royals
776976,2025-07-27,Athletics,7,Houston Astros,1,Athletics
776979,2025-07-27,Washington Nationals,7,Minnesota Twins,2,Washington Nationals
776989,2025-07-27,Chicago Cubs,5,Chicago White Sox,4,Chicago Cubs
776978,2025-07-27,Miami Marlins,2,Milwaukee Brewers,3,Milwaukee Brewers
776980,2025-07-27,San Diego Padres,9,St. Louis Cardinals,2,San Diego Padres
776981,2025-07-27,Atlanta Braves,1,Texas Rangers,8,Texas Rangers
776977,2025-07-27,Seattle Mariners,1,Los Angeles Angels,4,Los Angeles Angels
776974,2025-07-27,New York Mets,5,San Francisco Giants,3,New York Mets
