game_id,date,away_team,away_score,home_team,home_score,winner
777394,2025-06-23,Texas Rangers,0,Baltimore Orioles,6,Baltimore Orioles
777389,2025-06-23,Atlanta Braves,3,New York Mets,2,Atlanta Braves
777390,2025-06-23,New York Yankees,1,Cincinnati Reds,6,Cincinnati Reds
777388,2025-06-23,Seattle Mariners,11,Minnesota Twins,2,Seattle Mariners
777393,2025-06-23,Arizona Diamondbacks,10,Chicago White Sox,0,Arizona Diamondbacks
777391,2025-06-23,Pittsburgh Pirates,5,Milwaukee Brewers,4,Pittsburgh Pirates
777392,2025-06-23,Chicago Cubs,2,St. Louis Cardinals,8,St. Louis Cardinals
777381,2025-06-23,Boston Red Sox,5,Los Angeles Angels,9,Los Angeles Angels
777382,2025-06-23,Washington Nationals,10,San Diego Padres,6,Washington Nationals
