game_id,date,away_team,away_score,home_team,home_score,winner
777068,2025-07-21,Baltimore Orioles,5,Cleveland Guardians,10,Cleveland Guardians
777060,2025-07-21,Detroit Tigers,0,Pittsburgh Pirates,3,Pittsburgh Pirates
777062,2025-07-21,San Diego Padres,2,Miami Marlins,1,San Diego Padres
777064,2025-07-21,Cincinnati Reds,8,Washington Nationals,10,Washington Nationals
777063,2025-07-21,Boston Red Sox,2,Philadelphia Phillies,3,Philadelphia Phillies
777066,2025-07-21,New York Yankees,1,Toronto Blue Jays,4,Toronto Blue Jays
777061,2025-07-21,Los Angeles Angels,5,New York Mets,7,New York Mets
777069,2025-07-21,San Francisco Giants,5,Atlanta Braves,9,Atlanta Braves
777059,2025-07-21,Chicago White Sox,8,Tampa Bay Rays,3,Chicago White Sox
777065,2025-07-21,Kansas City Royals,12,Chicago Cubs,4,Kansas City Royals
777057,2025-07-21,Athletics,2,Texas Rangers,7,Texas Rangers
777053,2025-07-21,St. Louis Cardinals,6,Colorado Rockies,2,St. Louis Cardinals
777055,2025-07-21,Houston Astros,6,Arizona Diamondbacks,3,Houston Astros
777050,2025-07-21,Milwaukee Brewers,6,Seattle Mariners,0,Milwaukee Brewers
777051,2025-07-21,Minnesota Twins,2,Los Angeles Dodgers,5,Los Angeles Dodgers
