game_id,date,away_team,away_score,home_team,home_score,winner
777652,2025-06-04,Colorado Rockies,3,Miami Marlins,2,Colorado Rockies
777647,2025-06-04,Milwaukee Brewers,9,Cincinnati Reds,1,Milwaukee Brewers
777649,2025-06-04,Los Angeles Angels,9,Boston Red Sox,11,Boston Red Sox
777648,2025-06-04,Houston Astros,0,Pittsburgh Pirates,3,Pittsburgh Pirates
777650,2025-06-04,Chicago Cubs,0,Washington Nationals,2,Washington Nationals
777653,2025-06-04,Cleveland Guardians,4,New York Yankees,0,Cleveland Guardians
777651,2025-06-04,Philadelphia Phillies,1,Toronto Blue Jays,2,Toronto Blue Jays
777654,2025-06-04,Arizona Diamondbacks,2,Atlanta Braves,1,Arizona Diamondbacks
777646,2025-06-04,Texas Rangers,4,Tampa Bay Rays,5,Tampa Bay Rays
777639,2025-06-04,Detroit Tigers,5,Chicago White Sox,4,Detroit Tigers
777645,2025-06-04,Baltimore Orioles,3,Seattle Mariners,2,Baltimore Orioles
777641,2025-06-04,San Diego Padres,5,San Francisco Giants,6,San Francisco Giants
777643,2025-06-04,Minnesota Twins,6,Athletics,1,Minnesota Twins
777638,2025-06-04,New York Mets,6,Los Angeles Dodgers,1,New York Mets
