game_id,date,away_team,away_score,home_team,home_score,winner
776610,2025-08-24,Colorado Rockies,0,Pittsburgh Pirates,4,Pittsburgh Pirates
776606,2025-08-24,St. Louis Cardinals,2,Tampa Bay Rays,7,Tampa Bay Rays
776612,2025-08-24,Houston Astros,2,Baltimore Orioles,3,Baltimore Orioles
776613,2025-08-24,Washington Nationals,2,Philadelphia Phillies,3,Philadelphia Phillies
776624,2025-08-24,New York Mets,3,Atlanta Braves,4,Atlanta Braves
776615,2025-08-24,Kansas City Royals,10,Detroit Tigers,8,Kansas City Royals
776614,2025-08-24,Toronto Blue Jays,3,Miami Marlins,5,Miami Marlins
776607,2025-08-24,Minnesota Twins,0,Chicago White Sox,8,Chicago White Sox
776608,2025-08-24,San Francisco Giants,4,Milwaukee Brewers,3,San Francisco Giants
776611,2025-08-24,Cleveland Guardians,0,Texas Rangers,5,Texas Rangers
776605,2025-08-24,Chicago Cubs,4,Los Angeles Angels,3,Chicago Cubs
776609,2025-08-24,Cincinnati Reds,6,Arizona Diamondbacks,1,Cincinnati Reds
776603,2025-08-24,Los Angeles Dodgers,8,San Diego Padres,2,Los Angeles Dodgers
776602,2025-08-24,Athletics,4,Seattle Mariners,11,Seattle Mariners
776616,2025-08-24,Boston Red Sox,2,New York Yankees,7,New York Yankees
