game_id,date,away_team,away_score,home_team,home_score,winner
777165,2025-07-10,New York Mets,1,Baltimore Orioles,3,Baltimore Orioles
777181,2025-07-10,New York Mets,3,Baltimore Orioles,7,Baltimore Orioles
777166,2025-07-10,Chicago Cubs,8,Minnesota Twins,1,Chicago Cubs
777168,2025-07-10,Miami Marlins,0,Cincinnati Reds,6,Cincinnati Reds
777169,2025-07-10,Seattle Mariners,5,New York Yankees,6,New York Yankees
777170,2025-07-10,Tampa Bay Rays,3,Boston Red Sox,4,Boston Red Sox
777167,2025-07-10,Washington Nationals,1,St. Louis Cardinals,8,St. Louis Cardinals
777156,2025-07-10,Atlanta Braves,4,Athletics,5,Athletics
777159,2025-07-10,Texas Rangers,11,Los Angeles Angels,4,Texas Rangers
777158,2025-07-10,Arizona Diamondbacks,3,San Diego Padres,4,San Diego Padres
