game_id,date,away_team,away_score,home_team,home_score,winner
777198,2025-07-08,New York Mets,7,Baltimore Orioles,6,New York Mets
777195,2025-07-08,Tampa Bay Rays,2,Detroit Tigers,4,Detroit Tigers
777187,2025-07-08,Seattle Mariners,3,New York Yankees,10,New York Yankees
777196,2025-07-08,Colorado Rockies,2,Boston Red Sox,10,Boston Red Sox
777197,2025-07-08,Miami Marlins,12,Cincinnati Reds,2,Miami Marlins
777194,2025-07-08,Pittsburgh Pirates,3,Kansas City Royals,4,Kansas City Royals
777190,2025-07-08,Chicago Cubs,1,Minnesota Twins,8,Minnesota Twins
777193,2025-07-08,Los Angeles Dodgers,1,Milwaukee Brewers,3,Milwaukee Brewers
777191,2025-07-08,Washington Nationals,2,St. Louis Cardinals,4,St. Louis Cardinals
777192,2025-07-08,Cleveland Guardians,10,Houston Astros,6,Cleveland Guardians
777180,2025-07-08,Texas Rangers,13,Los Angeles Angels,1,Texas Rangers
777185,2025-07-08,Arizona Diamondbacks,0,San Diego Padres,1,San Diego Padres
777186,2025-07-08,Philadelphia Phillies,3,San Francisco Giants,4,San Francisco Giants
777189,2025-07-08,Atlanta Braves,1,Athletics,10,Athletics
