game_id,date,away_team,away_score,home_team,home_score,winner
776719,2025-08-16,Pittsburgh Pirates,1,Chicago Cubs,3,Chicago Cubs
776723,2025-08-16,Texas Rangers,2,Toronto Blue Jays,14,Toronto Blue Jays
776725,2025-08-16,Philadelphia Phillies,0,Washington Nationals,2,Washington Nationals
776726,2025-08-16,Seattle Mariners,1,New York Mets,3,New York Mets
776724,2025-08-16,Miami Marlins,5,Boston Red Sox,7,Boston Red Sox
776721,2025-08-16,Milwaukee Brewers,6,Cincinnati Reds,5,Milwaukee Brewers
776722,2025-08-16,Baltimore Orioles,4,Houston Astros,5,Houston Astros
776720,2025-08-16,Atlanta Braves,10,Cleveland Guardians,1,Atlanta Braves
776712,2025-08-16,Chicago White Sox,2,Kansas City Royals,6,Kansas City Royals
776716,2025-08-16,Detroit Tigers,8,Minnesota Twins,5,Detroit Tigers
776713,2025-08-16,New York Yankees,12,St. Louis Cardinals,8,New York Yankees
776715,2025-08-16,Arizona Diamondbacks,7,Colorado Rockies,10,Colorado Rockies
776711,2025-08-16,Tampa Bay Rays,2,San Francisco Giants,1,Tampa Bay Rays
776717,2025-08-16,San Diego Padres,0,Los Angeles Dodgers,6,Los Angeles Dodgers
776718,2025-08-16,Los Angeles Angels,2,Athletics,7,Athletics
