game_id,date,away_team,away_score,home_team,home_score,winner
777263,2025-07-03,Minnesota Twins,1,Miami Marlins,4,Miami Marlins
777264,2025-07-03,Houston Astros,6,Colorado Rockies,7,Colorado Rockies
777258,2025-07-03,Detroit Tigers,7,Washington Nationals,11,Washington Nationals
777260,2025-07-03,New York Yankees,5,Toronto Blue Jays,8,Toronto Blue Jays
777257,2025-07-03,Milwaukee Brewers,2,New York Mets,3,New York Mets
777261,2025-07-03,Los Angeles Angels,5,Atlanta Braves,1,Los Angeles Angels
777259,2025-07-03,Cleveland Guardians,0,Chicago Cubs,1,Chicago Cubs
777256,2025-07-03,San Francisco Giants,7,Arizona Diamondbacks,2,San Francisco Giants
777251,2025-07-03,Kansas City Royals,3,Seattle Mariners,2,Kansas City Royals
777253,2025-07-03,Chicago White Sox,2,Los Angeles Dodgers,6,Los Angeles Dodgers
