game_id,date,away_team,away_score,home_team,home_score,winner
777380,2025-06-24,Texas Rangers,6,Baltimore Orioles,5,Texas Rangers
777386,2025-06-24,Athletics,4,Detroit Tigers,11,Detroit Tigers
777384,2025-06-24,Toronto Blue Jays,10,Cleveland Guardians,6,Toronto Blue Jays
777387,2025-06-24,Atlanta Braves,7,New York Mets,4,Atlanta Braves
777385,2025-06-24,New York Yankees,4,Cincinnati Reds,5,Cincinnati Reds
777378,2025-06-24,Tampa Bay Rays,5,Kansas City Royals,1,Tampa Bay Rays
777375,2025-06-24,Seattle Mariners,6,Minnesota Twins,5,Seattle Mariners
777383,2025-06-24,Arizona Diamondbacks,4,Chicago White Sox,1,Arizona Diamondbacks
777374,2025-06-24,Pittsburgh Pirates,3,Milwaukee Brewers,9,Milwaukee Brewers
777373,2025-06-24,Chicago Cubs,7,St. Louis Cardinals,8,St. Louis Cardinals
777377,2025-06-24,Philadelphia Phillies,0,Houston Astros,1,Houston Astros
777379,2025-06-24,Los Angeles Dodgers,9,Colorado Rockies,7,Los Angeles Dodgers
777376,2025-06-24,Boston Red Sox,2,Los Angeles Angels,3,Los Angeles Angels
777372,2025-06-24,Washington Nationals,3,San Diego Padres,4,San Diego Padres
777364,2025-06-24,Miami Marlins,4,San Francisco Giants,2,Miami Marlins
