game_id,date,away_team,away_score,home_team,home_score,winner
777944,2025-05-13,Milwaukee Brewers,0,Cleveland Guardians,2,Cleveland Guardians
777940,2025-05-13,Boston Red Sox,9,Detroit Tigers,10,Detroit Tigers
777945,2025-05-13,Chicago White Sox,5,Cincinnati Reds,1,Chicago White Sox
777935,2025-05-13,Tampa Bay Rays,11,Toronto Blue Jays,9,Tampa Bay Rays
777943,2025-05-13,Pittsburgh Pirates,1,New York Mets,2,New York Mets
777942,2025-05-13,Washington Nationals,2,Atlanta Braves,5,Atlanta Braves
777936,2025-05-13,Miami Marlins,4,Chicago Cubs,5,Chicago Cubs
777934,2025-05-13,Colorado Rockies,1,Texas Rangers,4,Texas Rangers
777931,2025-05-13,Kansas City Royals,1,Houston Astros,2,Houston Astros
777932,2025-05-13,Los Angeles Angels,4,San Diego Padres,6,San Diego Padres
777926,2025-05-13,New York Yankees,1,Seattle Mariners,2,Seattle Mariners
777930,2025-05-13,Arizona Diamondbacks,6,San Francisco Giants,10,San Francisco Giants
777937,2025-05-13,Athletics,11,Los Angeles Dodgers,1,Athletics
