game_id,date,away_team,away_score,home_team,home_score,winner
777341,2025-06-27,New York Mets,1,Pittsburgh Pirates,9,Pittsburgh Pirates
777343,2025-06-27,Tampa Bay Rays,8,Baltimore Orioles,22,Baltimore Orioles
777337,2025-06-27,Athletics,0,New York Yankees,3,New York Yankees
777346,2025-06-27,San Diego Padres,1,Cincinnati Reds,8,Cincinnati Reds
777349,2025-06-27,St. Louis Cardinals,5,Cleveland Guardians,0,St. Louis Cardinals
777345,2025-06-27,Toronto Blue Jays,9,Boston Red Sox,0,Toronto Blue Jays
777334,2025-06-27,Minnesota Twins,4,Detroit Tigers,1,Minnesota Twins
777342,2025-06-27,Philadelphia Phillies,13,Atlanta Braves,0,Philadelphia Phillies
777338,2025-06-27,San Francisco Giants,3,Chicago White Sox,1,San Francisco Giants
777340,2025-06-27,Seattle Mariners,7,Texas Rangers,6,Seattle Mariners
777336,2025-06-27,Chicago Cubs,4,Houston Astros,7,Houston Astros
777335,2025-06-27,Los Angeles Dodgers,5,Kansas City Royals,4,Los Angeles Dodgers
777339,2025-06-27,Colorado Rockies,6,Milwaukee Brewers,10,Milwaukee Brewers
777331,2025-06-27,Washington Nationals,15,Los Angeles Angels,9,Washington Nationals
777332,2025-06-27,Miami Marlins,9,Arizona Diamondbacks,8,Miami Marlins
